gene	chromosome	start_pos	end_pos	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model
intron_6_31270085_31270210	6	31270085	31270210	-9.62452030181885	-0.07949832798984878	6.300018608466284e-22	1.0877583262854542	1	1	1
intron_6_30884710_30885625	6	30884710	30885625	9.180273056030273	32.839047419430344	4.2999966640286323e-20	2.2870356191974857e-06	1	1	1
intron_6_30740798_30741036	6	30740798	30741036	-9.13402271270752	-0.17110177912082794	6.600017980653128e-20	0.09311307585891994	1	1	1
intron_6_30740798_30741190	6	30740798	30741190	9.113557555196007	0.4685137238096489	7.972389962311721e-20	0.012356298958556902	2	2	2
intron_6_30651100_30651266	6	30651100	30651266	9.110504150390625	0.32000569040169047	8.200002898805007e-20	0.026619771408169422	1	1	1
intron_6_30741333_30741792	6	30741333	30741792	9.095675468444822	0.6325538885693818	9.400032720201058e-20	0.006812784696359718	1	1	1
intron_6_30730818_30730919	6	30730818	30730919	-8.819676843773191	-0.05331545478152843	1.1479052212079504e-18	0.9394380866202823	3	3	3
intron_6_30730727_30730919	6	30730727	30730919	8.807564858538539	0.04757444473459637	1.2789380907263087e-18	1.1767247385638353	3	3	3
intron_6_30007593_30491137	6	30007593	30491137	8.797417640686035	0.10961786135469773	1.4000048227523635e-18	0.4709236250203714	1	1	1
intron_6_31154799_31156731	6	31154799	31156731	8.562966346740723	0.17863166364941407	1.1000004961977527e-17	0.1399400374661664	1	2	2
intron_6_31151122_31156731	6	31151122	31156731	-8.488123893737793	-0.07614493699754529	2.0999962640641364e-17	0.5688830982538529	1	1	1
intron_6_31781123_31781481	6	31781123	31781481	-8.458861351013184	-1.0988667245405774	2.7000082333350575e-17	0.003332196213386931	1	1	1
intron_6_31744581_31747387	6	31744581	31747387	8.431933403015137	18.844691715139295	3.4000046775399274e-17	1.1330329430078567e-05	1	1	1
intron_6_28281918_28283776	6	28281918	28283776	-8.350456237792969	-17.68837477107245	6.799978475000505e-17	8.71252147213434e-06	1	1	1
intron_6_30339930_30340505	6	30339930	30340505	-8.190566062927246	-10.236109498036924	2.6000040939023755e-16	2.3588348051452668e-05	1	1	1
intron_19_41320470_41322595	19	41320470	41322595	-8.052680969238283	-24.54772978943739	8.099984276865524e-16	7.548173226990808e-06	1	1	1
intron_6_31355223_31355317	6	31355223	31355317	7.627150058746336	0.10291184702547529	2.4000017491101843e-14	0.3467389510130266	1	1	1
intron_6_28272336_28272670	6	28272336	28272670	7.446292400360107	6.337977660032022	9.599990887449366e-14	8.15190086782764e-05	1	1	1
