gene	chromosome	position_start	position_end	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
intron_6_29888742_29944122	6	29888742	29944122	1.21528164159627e-24	3	3	0.00330000110188496	Skin_Sun_Exposed_Lower_leg	0.167311460952706	Esophagus_Mucosa	2.58335973343227	0.103560934895542	0.103560934895542	-2.93831634521484	2.07736757091303	-0.747281026771484	2.56717171754229	3	0
intron_6_30261479_30261587	6	30261479	30261587	2.25688265887582e-24	4	4	1.66936789409538e-16	Skin_Sun_Exposed_Lower_leg	0.0482764366052644	Skin_Not_Sun_Exposed_Suprapubic	2.83834567049224	0.116196000124444	0.116196000124444	1.9749269669335	8.24372054609251	6.30020696066131	2.91072413087897	4	0
intron_6_31270085_31270210	6	31270085	31270210	4.42327631302607e-24	4	2	9.11474069672152e-24	Skin_Sun_Exposed_Lower_leg	2.10000176953888e-07	Esophagus_Mucosa	2.42926435121031	3.10178520373979e-17	1.54293500886302	-10.0507753650446	-5.19026041030884	-7.51395412187028	2.68880745251271	2	0
intron_6_31270085_31355317	6	31270085	31355317	1.29837276274233e-21	5	2	1.97208636818573e-23	Kidney_Cortex	2.36253526266482e-16	Esophagus_Mucosa	4.66069590251944	0.011122511554384	0.200193643417624	8.20208480813811	9.97444107349479	9.29196518944525	0.673930532916289	2	0
intron_6_30915037_30915156	6	30915037	30915156	3.09999325755106e-20	4	1	3.09999325755115e-20	Esophagus_Mucosa	3.09999325755115e-20	Esophagus_Mucosa	4	4.44621432663869e-66	4	-9.21544170379639	-9.21544170379639	-9.21544170379639	0	1	0
intron_6_31269525_31355107	6	31269525	31355107	3.75186257158452e-20	5	2	4.86802863969298e-21	Pancreas	5.83825859000216e-05	Skin_Sun_Exposed_Lower_leg	4.46391338764988	0.0174229071890789	0.346212434815212	4.01925447716277	9.41199608100861	6.35838796989647	2.21982248867874	2	0
intron_6_30884710_30885625	6	30884710	30885625	4.29999666402866e-20	4	1	4.29999666402857e-20	Pancreas	4.29999666402873e-20	Kidney_Cortex	4	2.01446618633484e-17	4	-9.18027305603028	9.18027305603027	-4.59013652801514	9.18027305603027	1	0
intron_6_30884710_30888688	6	30884710	30888688	4.29999666402869e-20	3	1	4.29999666402857e-20	Skin_Not_Sun_Exposed_Suprapubic	4.29999666402873e-20	Esophagus_Mucosa	3	1.91686905152886e-33	3	9.18027305603027	9.18027305603028	9.18027305603027	2.17558392881683e-15	1	0
intron_6_30740798_30741190	6	30740798	30741190	5.11453352892844e-20	4	1	6.40001903884743e-20	Skin_Sun_Exposed_Lower_leg	7.9723899623116e-20	Kidney_Cortex	3.97225209109775	6.23377717723387e-18	3.97225209109775	9.11355755519601	9.13735198974609	9.12973874258929	0.0109010268273959	1	0
intron_6_30741333_30741792	6	30741333	30741792	5.48048561075206e-20	5	1	5.09414451206675e-20	Skin_Sun_Exposed_Lower_leg	9.40003272020106e-20	Kidney_Cortex	4.9681358624987	7.36996074877141e-17	4.9681358624987	9.09567546844482	9.16200591912512	9.12494631169368	0.0288238656987364	1	0
intron_6_30740798_30741036	6	30740798	30741036	6.60001798065316e-20	1	1	6.60001798065313e-20	Kidney_Cortex	6.60001798065313e-20	Kidney_Cortex	1	1	1	-9.13402271270752	-9.13402271270752	-9.13402271270752	NA	1	0
intron_6_31154799_31156731	6	31154799	31156731	7.03006064524709e-20	5	2	1.36864132554095e-18	Pancreas	3.71280547995843e-15	Skin_Not_Sun_Exposed_Suprapubic	4.1437990412789	9.5080649405148e-18	0.824929663379774	7.86426173054383	8.79996065253219	8.46758509104801	0.353234143108387	2	0
intron_6_30688942_30690842	6	30688942	30690842	7.50002290440974e-20	1	1	7.5000229044097e-20	Skin_Sun_Exposed_Lower_leg	7.5000229044097e-20	Skin_Sun_Exposed_Lower_leg	1	1	1	-9.12017917633057	-9.12017917633057	-9.12017917633057	NA	1	0
intron_6_31639226_31639500	6	31639226	31639500	7.65758960952935e-20	2	2	8.19998919618366e-08	Skin_Not_Sun_Exposed_Suprapubic	0.000529999951720463	Pancreas	1.5514651698452	0.448534830154799	0.448534830154799	-5.36267185211182	3.46511745452881	-0.948777198791503	6.24218968161168	2	0
