gene	gene_name	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model	GeneID	chromosome.x	start_position	end_position
ENSG00000214894.6	LINC00243	-9.40499844544919	-0.314208197467083	5.20309751133966e-21	0.0465857136250598	2	2	2	401247	6	30812865	30830658
ENSG00000244731.7	C4A	9.07855207080384	0.144570264179104	1.10028760194821e-19	0.203209273123561	2	2	2	720	6	31982056	32002680
ENSG00000237923.1	XXbac-BPG27H4.8	-8.88486715125418	-0.225080681724091	6.39971969465307e-19	0.0935545227031831	2	2	2	NA	NA	NA	NA
ENSG00000204444.10	APOM	8.63642406463623	0.708199302003658	5.79999218566894e-18	0.00779022240662413	1	2	2	55937	6	31652403	31658209
ENSG00000137338.5	PGBD1	8.35045623779297	2.27939858123724	6.79997847500041e-17	0.000619448792831903	1	1	1	84547	6	28281563	28303680
ENSG00000233822.4	HIST1H2BN	8.23470497131348	1.26085684638139	1.80000676590573e-16	0.0020960433215821	1	1	1	NA	NA	NA	NA
ENSG00000281706.2	LINC01012	8.21623039245605	3.3560837632602	2.09999830838993e-16	0.000278894114097285	1	1	1	100507173	6	27694034	27710221
ENSG00000224389.8	C4B	-7.8698614239033	-0.196687376232891	3.55034293135986e-15	0.0798836493520648	2	2	2	721	6	32014794	32035417
ENSG00000204410.14	MSH5	7.84311638954567	0.71299455978553	4.39500278735949e-15	0.00672733310142435	4	4	4	4439	6	31740004	31762675
ENSG00000204388.6	HSPA1B	-7.72712802886963	-0.823284323571004	1.10000003234147e-14	0.00557972866053183	1	1	1	3304	6	31827737	31830253
ENSG00000187626.8	ZKSCAN4	-7.57112693786621	-4.01777466702459	3.7000028229288e-14	0.000203831598313996	1	1	1	387032	6	28241696	28259257
ENSG00000229274.1	XXbac-BPG13B8.10	-7.2783549012799	-0.788417037543148	3.37915410284835e-13	0.00530016023711315	2	2	2	NA	NA	NA	NA
ENSG00000186470.13	BTN3A2	7.11395227790399	0.0911519843874597	1.12766156614221e-12	0.363111290662885	2	2	2	11118	6	26365169	26378319
ENSG00000137312.14	FLOT1	-6.97693186910887	-0.569113372006762	3.01695918981187e-12	0.00720131942535011	2	2	2	10211	6	30727708	30742846
ENSG00000204632.11	HLA-G	6.72359603969105	0.112050051061158	1.77293530880546e-11	0.19295742576023	4	4	4	3135	6	29826473	29831129
ENSG00000204644.9	ZFP57	-6.69584609300213	-0.0379968032157305	2.14427311254078e-11	2.0448554076544	2	3	3	346171	6	29672391	29681151
ENSG00000137331.11	IER3	-6.66674701423154	-0.398268317832504	2.61535338239102e-11	0.0131679281652739	2	2	2	8870	6	30743198	30744546
ENSG00000281831.1	HCP5B	-6.575139949411	-0.0804713383185937	4.86074275752687e-11	0.399758900130743	3	3	3	352990	6	29871894	29873782
ENSG00000197062.11	ZSCAN26	6.49410745045925	0.193283882873502	8.35271187767689e-11	0.0690013137629077	3	3	3	7741	6	28267049	28278217
ENSG00000204305.13	AGER	-6.47572833553501	-0.249944514809701	9.43556794795009e-11	0.0450362874742027	3	3	3	177	6	32180968	32184379
ENSG00000204308.7	RNF5	6.46628993233913	0.415634065037953	1.00438286574148e-10	0.014588304868827	2	2	2	6048	6	32178404	32180792
ENSG00000204525.16	HLA-C	-6.18127185350768	-0.121011449752336	6.35872062228354e-10	0.177514081118201	2	3	3	3107	6	31268748	31272091
ENSG00000204420.8	MPIG6B	-6.01717760312928	-0.130612990891151	1.77484322591868e-09	0.138170371084216	5	5	5	80739	6	31720556	31726713
ENSG00000196812.4	ZSCAN16	5.90714724358496	1.35650044815794	3.48082619743345e-09	0.0011668724622079	2	2	2	80345	6	28123752	28130081
ENSG00000204540.10	PSORS1C1	5.89609172239259	0.0422825914051366	3.72212124683678e-09	1.11466440541219	2	2	2	170679	6	31114799	31140091
ENSG00000240053.8	LY6G5B	-5.87922250829398	-0.221291688325908	4.12197975937585e-09	0.048195387250582	3	3	3	58496	6	31670950	31672449
ENSG00000231852.6	CYP21A2	-5.64842642359782	-0.183807206487709	1.61923125453649e-08	0.0401067960712016	2	2	2	1589	6	32038414	32041643
