gene	gene_name	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model	GeneID	chromosome.x	start_position	end_position
ENSG00000204542.2	C6orf15	-9.54829994060405	-0.563396765702042	1.31841959322387e-21	0.0172014234131764	4	4	4	29113	6	31111222	31112574
ENSG00000204525.16	HLA-C	-8.86899095697217	-0.114770345848723	7.38116707325842e-19	0.400887490181241	4	5	5	3107	6	31268748	31272091
ENSG00000244731.7	C4A	8.84385182198926	0.136616534974241	9.24742290794039e-19	0.206888725287194	3	3	3	720	6	31982056	32002680
ENSG00000204444.10	APOM	8.63642406463623	0.713272726110847	5.7999921856689e-18	0.00738016415446257	1	1	1	55937	6	31652403	31658209
ENSG00000237923.1	XXbac-BPG27H4.8	-8.45242235371931	-0.133556802924603	2.85320302697821e-17	0.241942400394611	3	3	3	NA	NA	NA	NA
ENSG00000213719.8	CLIC1	8.42203521728516	1.85069919600513	3.69999800261192e-17	0.000954946713266598	1	1	1	1192	6	31730580	31737317
ENSG00000137411.16	VARS2	7.95570186766634	0.0534733214209814	1.7811884241937e-15	1.3853600395042	3	3	3	57176	6	30914237	30926458
ENSG00000214894.6	LINC00243	-7.80971757551899	-0.213233728410057	5.7316273995561e-15	0.0728368466420514	3	3	3	401247	6	30812865	30830658
ENSG00000204388.6	HSPA1B	-7.66801523092521	-0.72384256935035	1.74678149282665e-14	0.00727159602324745	2	2	2	3304	6	31827737	31830253
ENSG00000204308.7	RNF5	7.07310106014564	0.245629970960334	1.51509062326802e-12	0.043473808720092	3	3	3	6048	6	32178404	32180792
ENSG00000204632.11	HLA-G	6.99330651039468	0.101125765430575	2.68482055405276e-12	0.251572825200246	4	4	4	3135	6	29826473	29831129
ENSG00000186470.13	BTN3A2	6.88888236449459	0.0821773408517856	5.62324134528872e-12	0.417027284254957	3	3	3	11118	6	26365169	26378319
ENSG00000204644.9	ZFP57	-6.68992635882009	-0.0385894286903713	2.23282929187065e-11	2.0975930718205	3	3	3	346171	6	29672391	29681151
ENSG00000196812.4	ZSCAN16	6.65136063962898	0.822377957033308	2.90395740622981e-11	0.00412509548309007	2	2	2	80345	6	28123752	28130081
ENSG00000197062.11	ZSCAN26	6.39482015555976	0.152207470372575	1.607364280859e-10	0.106860843752861	3	3	3	7741	6	28267049	28278217
ENSG00000261839.1	RP1-265C24.8	-6.30467378104018	-1.16034067561908	2.88801523096769e-10	0.00181502158589438	2	2	2	NA	NA	NA	NA
ENSG00000204536.13	CCHCR1	-6.20161558080683	-0.116530345500338	5.58864535663962e-10	0.232604553572183	4	4	4	54535	6	31142438	31158208
ENSG00000204592.8	HLA-E	-6.09417963027954	-0.394745479816098	1.10000087523685e-09	0.0171846666791928	1	1	1	3133	6	30489507	30494193
ENSG00000206503.12	HLA-A	5.96317210622899	0.16213388580006	2.47387609302081e-09	0.0717501352620888	2	4	4	3105	6	29942531	29945869
ENSG00000204420.8	MPIG6B	-5.87303170929082	-0.491850925481214	4.27896586231475e-09	0.00926653855547206	2	2	2	80739	6	31720556	31726713
ENSG00000204394.12	VARS	-5.86745898209719	-1.83900091705036	4.425244331235e-09	0.000749391457000074	2	2	2	NA	NA	NA	NA
ENSG00000162493.16	PDPN	-5.6476814523453	-0.426383582137281	1.6262615154131e-08	0.0123378827948867	3	3	3	10630	1	13583756	13617956
ENSG00000231852.6	CYP21A2	-5.55507775357236	-0.068035447396571	2.7748821403635e-08	0.210530699491524	4	6	6	1589	6	32038414	32041643
ENSG00000198563.13	DDX39B	5.54875983577937	0.352525953429351	2.8770306296694e-08	0.0154264910808937	3	3	3	7919	6	31530225	31542002
ENSG00000204371.11	EHMT2	-5.52844987754804	-0.396803476870383	3.23072699509748e-08	0.0135038471106518	2	2	2	10919	6	31879758	31897697
ENSG00000180573.9	HIST1H2AC	5.51438570022583	0.998504018228013	3.50000279747331e-08	0.00197666718207569	1	1	1	NA	NA	NA	NA
ENSG00000232629.8	HLA-DQB2	-5.49085187911987	-0.462634474140475	3.99999712309058e-08	0.00876338697674057	1	2	2	3120	6	32756093	32763552
ENSG00000196126.11	HLA-DRB1	-5.48429877211336	-0.158107859397533	4.15112695714941e-08	0.0785083828116773	2	4	4	3123	6	32578774	32589847
ENSG00000240053.8	LY6G5B	-5.47730653041447	-0.299625826934662	4.31848757993427e-08	0.0236103794692816	3	3	3	58496	6	31670950	31672449
ENSG00000235109.7	ZSCAN31	-5.34185552597046	-0.159430613585482	9.19999669965804e-08	0.071468912194679	1	1	1	64288	6	28324736	28359156
ENSG00000206344.7	HCG27	5.259542763099	0.0932324841519088	1.44414043227528e-07	0.215739168154883	3	4	4	253018	6	31197759	31203967
ENSG00000204469.12	PRRC2A	5.20886421203613	1.34021958587601	1.90000093128358e-07	0.00106074556514252	1	1	1	7916	6	31620714	31637779
ENSG00000204314.10	PRRT1	5.1978615090533	0.123958124838653	2.01594225801643e-07	0.102264480918196	3	3	3	80863	6	32148327	32153625
ENSG00000066379.14	ZNRD1	5.16354320680033	0.2386627840029	2.42318615816828e-07	0.0336017057956738	4	4	4	NA	NA	NA	NA
ENSG00000112812.15	PRSS16	-5.14303793137365	-0.246435950943884	2.70331014869557e-07	0.0261223198314241	2	2	2	10279	6	27247700	27256619
ENSG00000224843.6	LINC00240	-5.11726379394531	-0.161415097816575	3.09999915073239e-07	0.0707024350518842	1	2	2	100133205	6	26956992	27023973
ENSG00000204257.14	HLA-DMA	-5.08585646820067	-0.145158137894985	3.65970753481745e-07	0.0626449502806121	3	3	3	3108	6	32948617	32953096
ENSG00000197903.7	HIST1H2BK	-4.88913539467507	-0.541945359794494	1.01279821083033e-06	0.0051581748757501	2	2	2	NA	NA	NA	NA
ENSG00000204540.10	PSORS1C1	4.65754652023315	0.0903979747476205	3.20000128493932e-06	0.169388077112518	1	2	2	170679	6	31114799	31140091
ENSG00000189298.13	ZKSCAN3	4.63289234004471	0.184836518278908	3.60592083584731e-06	0.0385103802428031	3	3	3	80317	6	28349912	28369173
ENSG00000197279.3	ZNF165	4.62623947818866	0.322277182782064	3.72364729021917e-06	0.0128396143291315	2	2	2	7718	6	28080281	28104243
ENSG00000281831.1	HCP5B	-4.55540087282451	-0.0463464408993011	5.22857683805753e-06	0.664453244564401	3	3	3	352990	6	29871894	29873782
ENSG00000235863.3	B3GALT4	-4.51945161819458	-1.8895016364286	6.20000136787075e-06	0.000387532655508812	1	1	1	8705	6	33277122	33278824
ENSG00000204427.11	ABHD16A	4.48733893757983	0.204280737624255	7.21182943166563e-06	0.0299857641399988	2	2	2	7920	6	31686954	31703323
ENSG00000137338.5	PGBD1	-4.48474836349487	-0.46767252507389	7.30000326470128e-06	0.0059724549813549	1	1	1	84547	6	28281563	28303680
ENSG00000187987.9	ZSCAN23	-4.4805470374413	-0.0648763762714606	7.44519689711955e-06	0.304124554950069	2	2	2	222696	6	28425515	28443553
ENSG00000149480.6	MTA2	4.4275632949144	0.221490341187181	9.53036108331194e-06	0.0268409616155066	3	3	3	9219	11	62593213	62601864
ENSG00000204428.12	LY6G5C	-4.31445121765137	-0.0849827756963729	1.59999858171783e-05	0.179482609786009	1	2	2	80741	6	31676683	31680372
ENSG00000254772.9	EEF1G	-4.26489067077637	-0.370016853490517	2.00000110308048e-05	0.00897993588493961	1	1	1	1937	11	62559595	62573890
ENSG00000149499.11	EML3	4.18194434570953	0.109352062469263	2.8902672771487e-05	0.0994499626197957	3	3	3	256364	11	62602217	62612774
ENSG00000281706.2	LINC01012	4.18118000030518	0.366743449162539	2.90000169578597e-05	0.00885285884658436	1	1	1	100507173	6	27694034	27710221
ENSG00000204410.14	MSH5	4.15308552298376	0.351287595366518	3.28022074422847e-05	0.00902678569238421	4	4	4	4439	6	31740004	31762675
ENSG00000166181.12	API5	-4.08493139114506	-0.754906255805007	4.40898421360472e-05	0.00192939214000171	2	2	2	8539	11	43311969	43344529
ENSG00000228022.5	HCG20	4.06515789031982	0.516760291996239	4.79999557755851e-05	0.00411694168223966	1	2	2	NA	NA	NA	NA
ENSG00000251417.2	RP11-1348G14.4	-4.0603461265564	-0.107899175333065	4.9000021425437e-05	0.0953213505159538	1	2	2	NA	NA	NA	NA
ENSG00000189134.3	NKAPL	-4.01687960291269	-0.265742564968228	5.89738340932821e-05	0.0142876263240299	2	3	3	222698	6	28259296	28260957
ENSG00000096654.15	ZNF184	3.9702031736569	0.765552961328742	7.18113690727446e-05	0.00177750269841348	2	2	2	7738	6	27404005	27473104
ENSG00000100299.17	ARSA	3.96909661012265	0.0787180749334361	7.21456290697063e-05	0.150642685490721	5	5	5	410	22	50622753	50628151
ENSG00000213676.10	ATF6B	3.95447055575571	0.221069505404709	7.67043168528078e-05	0.0263337708061396	2	3	3	1388	6	32115263	32128245
ENSG00000153132.12	CLGN	-3.94975957033708	-0.234387393740647	7.8229733850494e-05	0.0206115755059955	2	2	2	1047	4	140388452	140427647
ENSG00000168958.19	MFF	3.9491912668735	0.110973973547247	7.8415677120015e-05	0.0846357294431109	3	3	3	56947	2	227325232	227357835
ENSG00000204472.12	AIF1	3.92249905545781	0.434072425388689	8.76352370364991e-05	0.00579257782361578	2	2	2	199	6	31615211	31617014
ENSG00000204351.11	SKIV2L	3.84070113865758	0.0863861386805187	0.000122683402525619	0.122061226371177	3	3	3	6499	6	31959156	31969851
ENSG00000130270.16	ATP8B3	3.8220220364619	0.11449282856226	0.000132361858145573	0.0709765973441241	3	3	3	148229	19	1782067	1812275
ENSG00000166225.8	FRS2	-3.76158458764932	-0.278885965661301	0.000168840301504934	0.0117743071831986	2	2	2	10818	12	69470370	69579792
ENSG00000119772.16	DNMT3A	3.75987243652344	36.583853596574	0.00017000001919999	7.76315463915426e-07	1	1	1	1788	2	25227873	25342589
ENSG00000204618.8	RNF39	-3.74781592674291	-0.167730897891938	0.000178381083313179	0.0348827848502154	3	3	3	80352	6	30070265	30080624
ENSG00000204209.11	DAXX	-3.74034752021175	-0.815564211097785	0.000183766000141444	0.00143829685144603	3	3	3	1616	6	33318557	33322958
ENSG00000102996.4	MMP15	3.73195433616638	0.363078149925874	0.000189999949371297	0.00719495187336036	1	1	1	4324	16	58025753	58046900
ENSG00000171469.10	ZNF561	-3.71222217058882	-0.158333891492111	0.000205447524447147	0.0380857264041284	2	2	2	93134	19	9607325	9621248
ENSG00000223501.8	VPS52	-3.70399888585528	-0.33111417032642	0.000212227189765832	0.0088457221160992	2	2	2	6293	6	33250271	33271964
ENSG00000228727.8	SAPCD1	3.69709941520996	0.501896296177306	0.000218076956505988	0.00390238369735359	2	2	2	401251	6	31762995	31764849
ENSG00000088682.13	COQ9	-3.69485324832328	-0.451716693592138	0.000220013822544521	0.0043172377286918	2	2	2	57017	16	57447478	57461269
