gene	gene_name	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model	GeneID	chromosome.x	start_position	end_position
ENSG00000137404.14	NRM	9.19361436153361	1.90163616006689	3.79858548213012e-20	0.00077816457478399	2	2	2	11270	6	30688046	30691419
ENSG00000204613.10	TRIM10	8.83623313903808	23.0102099435132	9.90000697630879e-19	4.65814354758539e-06	1	1	1	10107	6	30151938	30163215
ENSG00000244731.7	C4A	8.62879848480225	0.250799681500771	6.19998160839493e-18	0.0734333087271538	1	1	1	720	6	31982056	32002680
ENSG00000204427.11	ABHD16A	8.5995922088623	24.311822313631	7.99998451934065e-18	7.81469499315201e-06	1	1	1	7920	6	31686954	31703323
ENSG00000204396.10	VWA7	8.50021755680923	12.9372246741607	1.89235700749398e-17	2.76440903718959e-05	2	2	2	80737	6	31765589	31777327
ENSG00000137312.14	FLOT1	-8.39234812480102	-0.242673832699608	4.76527386726898e-17	0.0394325612502663	2	2	2	10211	6	30727708	30742846
ENSG00000105329.9	TGFB1	-8.05268096923828	-0.38494108213516	8.09998427686552e-16	0.0306955911033705	1	1	1	7040	19	41330322	41353921
ENSG00000142039.3	CCDC97	-8.05268096923828	-0.780375660107865	8.0999842768657e-16	0.0074689077616053	1	1	1	90324	19	41309854	41324872
ENSG00000187626.8	ZKSCAN4	-7.57112693786621	-0.83525364181271	3.7000028229288e-14	0.00453501367952805	1	1	1	387032	6	28241696	28259257
ENSG00000204308.7	RNF5	7.44525988570925	0.356184572397646	9.67537589503392e-14	0.0246641959923847	2	2	2	6048	6	32178404	32180792
ENSG00000224843.6	LINC00240	-7.0882290166676	-0.999783441421829	1.35839048697626e-12	0.00220281019415331	2	2	2	100133205	6	26956992	27023973
ENSG00000204644.9	ZFP57	-6.76258326021438	-0.0385394814914642	1.35552730829474e-11	1.52306362079468	2	2	2	346171	6	29672391	29681151
ENSG00000137411.16	VARS2	6.43933248519897	0.141672737121003	1.20000073061647e-10	0.155433950701747	1	1	1	57176	6	30914237	30926458
ENSG00000186470.13	BTN3A2	6.3872637423432	0.0903246373924062	1.68880231484031e-10	0.285095181623868	2	2	2	11118	6	26365169	26378319
ENSG00000261839.1	RP1-265C24.8	-6.20131790286975	-1.1983157455063	5.59922806852591e-10	0.00166044821233846	2	2	2	NA	NA	NA	NA
ENSG00000204310.12	AGPAT1	-5.97879679528513	-0.887590891247395	2.24791754072634e-09	0.00228835504505039	2	2	2	10554	6	32168211	32178107
ENSG00000198563.13	DDX39B	5.84064197540283	0.649609435585157	5.20000481721099e-09	0.0037750176903156	1	2	2	7919	6	31530225	31542002
ENSG00000196260.4	SFTA2	-5.643761957416	-0.593085974161932	1.66374068010222e-08	0.00431624836616837	2	2	2	389376	6	30931352	30932169
ENSG00000137185.11	ZSCAN9	-5.53342143102564	-0.367661131447043	3.14043691297631e-08	0.00832333960155769	2	2	2	7746	6	28224701	28233486
ENSG00000204257.14	HLA-DMA	-5.06644954948674	-0.159279251244259	4.05304104694545e-07	0.0676264916607761	2	2	2	3108	6	32948617	32953096
ENSG00000235863.3	B3GALT4	-5.02831619244385	-0.818259700870236	4.94805493527765e-07	0.00307665601798081	2	2	2	8705	6	33277122	33278824
ENSG00000228022.5	HCG20	5.01907338224124	0.130719611464291	5.19213148076948e-07	0.0808678946749175	2	2	2	NA	NA	NA	NA
ENSG00000206344.7	HCG27	4.87796207751439	0.0910059507466281	1.07187525753528e-06	0.211653717830911	2	2	2	253018	6	31197759	31203967
ENSG00000158691.14	ZSCAN12	-4.872516787166	-0.823653587515575	1.10185490254368e-06	0.0021075095300368	2	2	2	9753	6	28378820	28399767
ENSG00000137310.11	TCF19	4.75342416763306	0.145041881032023	2.0000013973091e-06	0.0561346767847905	1	1	1	6941	6	31158588	31164214
ENSG00000204540.10	PSORS1C1	4.73178413838666	0.0732219708063575	2.22555013104436e-06	0.363736377734289	2	2	2	170679	6	31114799	31140091
ENSG00000162493.16	PDPN	-4.71644592285156	-0.372717069435218	2.40000118472746e-06	0.0119627594897474	1	1	1	10630	1	13583756	13617956
ENSG00000204538.3	PSORS1C2	4.65754652023315	0.0990788562833262	3.20000128493932e-06	0.155196603954101	1	1	1	170680	6	31137533	31139065
ENSG00000197062.11	ZSCAN26	4.53827012734991	0.135527323654045	5.67175774303782e-06	0.0742218568598727	2	2	2	7741	6	28267049	28278217
ENSG00000162191.13	UBXN1	4.49066829681396	8.85123382193466	7.10000487596599e-06	1.77881388363991e-05	1	1	1	51035	11	62676499	62679115
ENSG00000149499.11	EML3	4.42851237049918	0.239466124666267	9.48852774692286e-06	0.020107268359726	2	2	2	256364	11	62602217	62612774
ENSG00000223501.8	VPS52	-4.42599201202392	-0.595580713606747	9.60000764511752e-06	0.00424974132102577	1	1	1	6293	6	33250271	33271964
ENSG00000231500.6	RPS18	4.42599201202392	0.498246599134501	9.60000764511752e-06	0.00607232574796217	1	1	1	6222	6	33272074	33276510
ENSG00000204428.12	LY6G5C	-4.31445121765137	-0.174221917085579	1.59999858171784e-05	0.0385234676612742	1	2	2	80741	6	31676683	31680372
ENSG00000026950.16	BTN3A1	-4.23960162296524	-0.152497389713426	2.23916808982532e-05	0.0389990132023023	2	2	2	11119	6	26402268	26415215
ENSG00000187987.9	ZSCAN23	-4.22933802396706	-0.141483604194075	2.34379958825637e-05	0.062730148291896	2	2	2	222696	6	28425515	28443553
ENSG00000124508.16	BTN2A2	-4.17192622235228	-0.307656296938338	3.0203544118494e-05	0.0093849336864827	2	2	2	10385	6	26382892	26394873
ENSG00000100299.17	ARSA	4.16715626268472	0.0717779644705465	3.0842308401124e-05	0.16399148995501	2	2	2	410	22	50622753	50628151
ENSG00000241370.5	RPP21	4.10898201626142	0.482413067412881	3.97407018079631e-05	0.00402854108460095	2	2	2	79897	6	30345155	30346856
ENSG00000184900.15	SUMO3	4.00890874862671	1.31384730472106	6.09999806684313e-05	0.000570838749099509	1	1	1	6612	21	44805616	44818061
ENSG00000198300.12	PEG3	3.93847823143005	5.25522028042831	8.20000320552768e-05	2.9801388921525e-05	1	1	1	5178	19	56810081	56840725
ENSG00000204410.14	MSH5	3.9355685710907	6.49268565554995	8.29999608206115e-05	2.22235993132132e-05	1	1	1	4439	6	31740004	31762675
ENSG00000149480.6	MTA2	3.92984676361084	1.49050793605557	8.50000136801992e-05	0.000452703418973139	1	1	1	9219	11	62593213	62601864
ENSG00000261353.1	CTA-14H9.5	-3.90816450119019	-0.41737368870858	9.29999782912542e-05	0.00580108075087876	1	1	1	NA	NA	NA	NA
ENSG00000235109.7	ZSCAN31	-3.85591983481352	-0.0738478606405775	0.000115295269491769	0.178790837607154	2	2	2	64288	6	28324736	28359156
ENSG00000232040.2	ZBED9	-3.84612607955933	-4.49725991226241	0.000120000031809092	4.45171126604486e-05	1	1	1	114821	6	28568287	28616201
ENSG00000131910.4	NR0B2	3.81586453422498	7.60756157100652	0.000135706945113015	1.73983310371432e-05	2	2	2	8431	1	26911488	26914109
ENSG00000182952.4	HMGN4	3.78739253617025	0.248695153145647	0.000152236493171753	0.0153472935371039	2	2	2	10473	6	26538346	26546932
ENSG00000125733.17	TRIP10	3.77432334078313	0.371376623244323	0.000160442555008844	0.00734102831057158	2	2	2	9322	19	6739679	6751529
ENSG00000270001.1	RP11-218C14.8	3.68355894088745	0.200328694514993	0.000230000070848333	0.0218739798463687	1	1	1	NA	NA	NA	NA
ENSG00000149489.8	ROM1	-3.67270135879517	-0.189813382400837	0.000239999904040873	0.0229328653701086	1	1	1	6094	11	62613256	62615115
ENSG00000185905.3	C16orf54	-3.59854698181152	-3.33238151176571	0.000320000047861501	5.34593720649346e-05	1	1	1	283897	16	29742462	29745989
ENSG00000070366.13	SMG6	3.59406258603113	0.35745090227657	0.000325561580041979	0.00840097159346813	2	2	2	23293	17	2059838	2303835
ENSG00000272911.1	RP11-74E22.6	3.57517027854919	0.0776218140344776	0.000350000024436312	0.165243362119603	1	1	1	NA	NA	NA	NA
ENSG00000231389.7	HLA-DPA1	3.54675984382629	0.162375998859869	0.000389999931199829	0.0275566873311095	1	1	1	3113	6	33064568	33080747
ENSG00000181315.10	ZNF322	-3.54008388519287	-0.0692792859242444	0.000399999869671255	0.152049614520752	1	2	2	79692	6	26634382	26659745
ENSG00000204209.11	DAXX	-3.53982458272548	-0.398337539014051	0.00040039307076797	0.00699194209601428	2	2	2	1616	6	33318557	33322958
ENSG00000105323.16	HNRNPUL1	-3.53356194496155	-0.478007694534704	0.000409999999451271	0.00378443873531661	1	1	1	11100	19	41262518	41307786
ENSG00000147647.12	DPYS	-3.53048741889296	-11.1474184663878	0.000414794742091941	7.55950922198544e-06	2	2	2	1807	8	104379428	104467073
ENSG00000162194.12	LBHD1	3.47836324346139	0.111592352100208	0.000504485784205551	0.05952218302484	2	2	2	79081	11	62662816	62672266
ENSG00000171469.10	ZNF561	-3.46837653370959	-0.05412760175918	0.000523613070114697	0.279277176501239	2	2	2	93134	19	9607325	9621248
ENSG00000087995.15	METTL2A	3.46511745452881	2.53985357195517	0.000529999951720464	0.000131237275572173	1	1	1	339175	17	62423875	62453384
ENSG00000204599.14	TRIM39	-3.41835880279541	-0.901262275766807	0.000629999959652634	0.000869354572344882	1	1	1	56658	6	30326468	30343728
ENSG00000204516.9	MICB	-3.41835880279541	-0.100387174239245	0.000629999959652634	0.0620569938919744	1	2	2	4277	6	31494917	31511123
ENSG00000137193.13	PIM1	3.40984416007996	26.8708651748082	0.000650000094320447	8.22185827147253e-07	1	1	1	5292	6	37170151	37175427
ENSG00000124613.8	ZNF391	-3.40961030605293	-0.0777730054538121	0.000650557638169444	0.121004702560947	2	2	2	346157	6	27374614	27403907
