gene	chromosome	start_pos	end_pos	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model
intron_6_31270085_31355317	6	31270085	31355317	9.19517290161514	0.028171044562066497	3.743920059957953e-20	7.078427834724415	8	8	8
intron_6_30884710_30888688	6	30884710	30888688	9.180273056030275	7.175712115025365	4.2999966640285715e-20	8.50016986877781e-05	1	1	1
intron_6_30884710_30885625	6	30884710	30885625	-9.180273056030273	-59.378529877227635	4.2999966640286323e-20	1.241362828019818e-06	1	1	1
intron_6_30741333_30741614	6	30741333	30741614	9.13402271270752	0.2991938046380696	6.600017980653128e-20	0.045885141822533705	1	1	1
intron_6_30741333_30741792	6	30741333	30741792	9.13402271270752	1.5931388981593877	6.600017980653128e-20	0.0016183408182831904	1	1	1
intron_6_30688942_30690047	6	30688942	30690047	-9.120179176330566	-0.9018109141631899	7.5000229044097e-20	0.00493860552967853	1	1	1
intron_6_30651082_30651266	6	30651082	30651266	-9.110504150390625	-0.41864645484645757	8.200002898805007e-20	0.02291608775396045	1	1	1
intron_6_30651100_30651266	6	30651100	30651266	9.110504150390625	0.26960132640237744	8.200002898805007e-20	0.055257503945298735	1	1	1
intron_6_30741867_30742147	6	30741867	30742147	-9.095675468444824	-0.34568343779869287	9.400032720200922e-20	0.03412109900372619	1	1	1
intron_6_30741704_30741792	6	30741704	30741792	-9.082210682624037	-0.2475913993684287	1.0639158779120597e-19	0.0663160718877031	2	2	2
intron_6_31463279_31463371	6	31463279	31463371	8.773070137920609	0.1745087391153725	1.7385966762843648e-18	0.15824995840017536	2	2	2
intron_6_30741333_30742147	6	30741333	30742147	8.6911779441154	0.21700901354746388	3.5870069966238794e-18	0.08089367670652922	2	2	2
intron_6_31656633_31657225	6	31656633	31657225	-8.61822509765625	-13.644833664558778	6.799990476065412e-18	2.2929824527718637e-05	1	1	1
intron_6_31781123_31781481	6	31781123	31781481	-8.458861351013184	-0.7444964425866257	2.7000082333350575e-17	0.006709428395321303	1	1	1
intron_6_31780153_31780441	6	31780153	31780441	8.458861351013184	56.23058449251524	2.7000082333350575e-17	1.1761577660076669e-06	1	1	1
intron_6_31781123_31781389	6	31781123	31781389	8.435425758361816	0.8010936031713	3.299992533010445e-17	0.005794877350237899	1	1	1
intron_6_31744581_31747387	6	31744581	31747387	-8.431933403015135	-104.14530447991446	3.4000046775399515e-17	3.4287150058438025e-07	1	1	1
intron_6_31760216_31760690	6	31760216	31760690	-8.415866851806639	-177.11472088754354	3.900000856572781e-17	1.1767950198501024e-07	1	1	1
intron_6_30007593_30491137	6	30007593	30491137	8.396225117353616	0.06732787570368329	4.610613036279871e-17	1.1474452888407383	6	6	6
intron_6_31798049_31806075	6	31798049	31806075	-8.393968582153319	-21.69874656659829	4.70001788797356e-17	7.898442871363163e-06	1	1	1
intron_6_31271348_31356688	6	31271348	31356688	8.374984009429589	0.03392479660356476	5.523137058222216e-17	4.409441790855771	9	9	9
intron_6_28225366_28227012	6	28225366	28227012	-8.314680099487305	-8200.657910865717	9.200009230107259e-17	4.5503282875239004e-11	1	1	1
intron_6_31151122_31156731	6	31151122	31156731	-8.308581354015372	-0.09194714469581718	9.685296565928475e-17	0.4598287648671894	2	2	2
intron_6_30199153_30213305	6	30199153	30213305	8.273575782775879	0.3770264152303706	1.3000010829137315e-16	0.025738424708823746	1	1	1
intron_6_30490515_30491137	6	30490515	30491137	-8.266846379311014	-0.057602586901086335	1.3754901726458304e-16	1.5328228454819526	5	5	5
intron_6_31166047_31170216	6	31166047	31170216	8.241545677185059	30.326212751871083	1.7000000839501516e-16	4.489075465719489e-06	1	1	1
intron_6_30339930_30340505	6	30339930	30340505	-8.190566062927246	-186.73974418821925	2.6000040939023755e-16	1.0307094799803809e-07	1	1	1
intron_19_41320470_41322595	19	41320470	41322595	8.052680969238281	8.890173420307567	8.099984276865698e-16	5.122602544901174e-05	1	1	1
intron_6_31961386_31961547	6	31961386	31961547	7.935292243957519	0.514907964839358	2.100002456568288e-15	0.015398267830736913	1	1	1
intron_6_31961094_31961547	6	31961094	31961547	-7.935290715586471	-0.39691621266642596	2.1000283182421984e-15	0.025914030399029397	2	2	2
intron_6_31154799_31156731	6	31154799	31156731	7.864261730543827	0.202400424008137	3.712805479958435e-15	0.10112939462602544	2	3	3
intron_6_30201138_30204656	6	30201138	30204656	-7.734578910682767	-0.08348216513263615	1.0374591422628485e-14	0.4706546251909568	2	2	2
intron_6_26407952_26409533	6	26407952	26409533	7.318906307220458	0.3034792502670538	2.5000006107933853e-13	0.02723641298761351	1	1	1
intron_6_32181477_32181606	6	32181477	32181606	-7.298960208892821	-490.0292128312142	2.9000006024863284e-13	1.1332942323008703e-08	1	1	1
intron_6_26407952_26408692	6	26407952	26408692	-7.270077475951067	-2.301000659872731	3.5928137782705514e-13	0.0004719376723812264	2	2	2
intron_6_31143413_31144687	6	31143413	31144687	-7.186966933642838	-0.07084694286845711	6.624644593659619e-13	0.6282829068479069	3	3	3
intron_6_31651776_31652400	6	31651776	31652400	-6.982271982421903	-0.18612582555316465	2.904441347353573e-12	0.08779213658799362	2	2	2
intron_6_29944616_29945059	6	29944616	29945059	-6.930274403945894	-0.06738343321184254	4.2002508460785654e-12	0.6476572482779259	2	5	5
intron_6_26368050_26368178	6	26368050	26368178	-6.926953315734863	-6.930008913801704	4.300004018573265e-12	5.507618257669573e-05	1	1	1
intron_6_26368050_26368565	6	26368050	26368565	-6.861854583220281	-0.5145821204560993	6.79722388560485e-12	0.009746200099390026	2	2	2
intron_6_32845785_32847068	6	32845785	32847068	6.62663365344946	0.336668494623361	3.434285285790293e-11	0.021663063186237147	3	3	3
intron_6_30201123_30213305	6	30201123	30213305	6.623834133148193	0.2708080936924486	3.49999486311564e-11	0.0333535906579614	1	1	1
intron_6_30201138_30213305	6	30201138	30213305	6.623834133148194	0.10063103874718446	3.49999486311564e-11	0.2415471753676465	1	1	1
intron_6_30204765_30213305	6	30204765	30213305	-6.6004180908203125	-0.1303343178740064	4.09999863874975e-11	0.1413959500402755	1	1	1
intron_6_28272339_28272670	6	28272339	28272670	6.565293833755293	0.10960718249795977	5.19303572875954e-11	0.21235861283048071	3	3	3
intron_6_32164681_32166138	6	32164681	32166138	6.522814750671387	2.375939566609982	6.900006420752067e-11	0.000414012869209793	1	1	1
intron_6_32154777_32155030	6	32154777	32155030	-6.474700927734375	-6.445300790297636	9.499991748536126e-11	5.509460375492425e-05	1	1	1
intron_6_32149722_32150368	6	32149722	32150368	-6.452527523040772	-124.65752272170701	1.099998973396289e-10	1.4728497982717316e-07	1	1	1
intron_6_32155783_32155851	6	32155783	32155851	-6.431999985364302	-53.56310084816549	1.259357529722229e-10	8.459215915512352e-07	2	2	2
intron_6_30895514_30896621	6	30895514	30896621	-6.427171707153321	-0.47631912109996755	1.2999995132524532e-10	0.011115035129657839	1	1	1
intron_6_30894671_30896621	6	30894671	30896621	6.347156563912929	0.6994267795292787	2.1933089337527062e-10	0.0050256171707922966	2	2	2
intron_6_29889823_29890264	6	29889823	29890264	-6.270452499389648	-0.11582211337273808	3.600003635015118e-10	0.19422771145390516	1	5	5
intron_6_29944616_30009145	6	29944616	30009145	6.215996265411377	0.05035079108330131	5.100001667032817e-10	0.910159300597389	1	3	3
intron_6_31651776_31651902	6	31651776	31651902	5.997807025909423	1.5727905075771749	1.9999998657703643e-09	0.0009815663678336179	1	1	1
intron_6_26466088_26467948	6	26466088	26467948	5.936066131722243	0.21099184092916642	2.9194208089539403e-09	0.047957938675612564	2	2	2
intron_6_26474396_26476161	6	26474396	26476161	-5.924388460982372	-0.15931126658319872	3.134616812460126e-09	0.07998170410355768	2	2	2
intron_6_30922241_30922382	6	30922241	30922382	5.838467364910955	0.0795526673203116	5.26831994263717e-09	0.3601597936177926	2	2	2
intron_6_31651776_31660321	6	31651776	31660321	5.791136395843939	0.3549853652174269	6.991177177656115e-09	0.0186011873865458	2	2	2
intron_6_31148728_31148892	6	31148728	31148892	-5.787862413122534	-0.06784662050085799	7.128776297892674e-09	0.42014518943247464	2	2	2
intron_6_30917806_30918827	6	30917806	30918827	5.762249946594237	0.6287269774627249	8.299995842843597e-09	0.005574741565963153	1	1	1
intron_6_30918915_30919724	6	30918915	30919724	-5.7582311630249015	-54.4807069966738	8.499990325058613e-09	7.42443587444019e-07	1	1	1
intron_6_30920216_30920333	6	30920216	30920333	-5.746703624725342	-0.13030659639008166	9.100002776607305e-09	0.12978249763894073	1	2	2
intron_6_30919848_30920089	6	30919848	30920089	5.746703624725342	0.16571402949096264	9.100002776607305e-09	0.08024728995570027	1	1	1
intron_6_30914344_30914805	6	30914344	30914805	5.74485445022583	0.2780281759589082	9.200008757670302e-09	0.028508299269010173	1	1	1
intron_16_58040698_58041617	16	58040698	58041617	5.73355853460056	0.2840944336620269	9.83451042231766e-09	0.027371965216919484	2	2	2
intron_6_31721063_31721628	6	31721063	31721628	5.713809187123389	0.06895861679147089	1.1047486952983263e-08	0.4024447300921776	3	3	3
intron_6_31892910_31893362	6	31892910	31893362	5.62086820602417	0.47851656764476774	1.900001802772495e-08	0.008727344635556113	1	1	1
intron_6_31158722_31158897	6	31158722	31158897	-5.467545936522027	-0.07822723189264494	4.563089752243298e-08	0.3726273597687741	2	2	2
intron_6_30922241_30922706	6	30922241	30922706	5.439980182610282	3.4757713964328154	5.32864983073409e-08	0.0001625959110852774	2	2	2
intron_6_31159035_31159143	6	31159035	31159143	-5.41306066780327	-0.16968256591209002	6.195648696183112e-08	0.08182058513233867	2	2	2
intron_6_31651776_31652424	6	31651776	31652424	5.386551565897708	0.29161710352337966	7.182233016898246e-08	0.019643035256945697	2	2	2
intron_6_28360681_28361324	6	28360681	28361324	-5.378761291503906	-0.22474552134280687	7.500007225038754e-08	0.03214434822124352	1	1	1
intron_6_31144788_31144885	6	31144788	31144885	5.370204899761269	0.08209392734440035	7.86472314753844e-08	0.2696508606633393	2	2	2
intron_6_31795250_31795546	6	31795250	31795546	5.367128849029541	9.301960786929733	7.999990728862754e-08	2.1515078303542344e-05	1	1	1
intron_6_31639226_31640199	6	31639226	31640199	5.362671852111816	0.4483657482076823	8.199989196183625e-08	0.008354512447351348	1	1	1
intron_6_31639226_31639500	6	31639226	31639500	-5.3626718521118155	-0.8914498256795031	8.199989196183656e-08	0.0021134508786784063	1	1	1
intron_6_31651776_31651866	6	31651776	31651866	5.326724052429198	0.3806986935527194	9.999990862406735e-08	0.011293158906546938	1	1	1
intron_6_31158722_31159143	6	31158722	31159143	5.280816130005985	0.054039976197774564	1.2860970880933742e-07	0.7165975802429118	3	3	3
intron_1_13584100_13607173	1	13584100	13607173	-5.252559661865234	-21.827631459715533	1.4999985209635814e-07	3.7325107683130544e-06	1	1	1
intron_6_26872250_26878700	6	26872250	26878700	-5.252559661865234	-0.15515330384920614	1.4999985209635814e-07	0.0804728695222698	1	1	1
intron_1_13584341_13607173	1	13584341	13607173	5.252559661865234	17.749125876999052	1.4999985209635814e-07	5.644953326502262e-06	1	1	1
intron_6_26402412_26405372	6	26402412	26405372	5.240664005279541	0.0626796184403177	1.5999981196288588e-07	0.38704762627361244	1	1	1
intron_6_31615293_31615521	6	31615293	31615521	-5.208864212036133	-11.821428510533943	1.9000009312835853e-07	1.3134536117581744e-05	1	1	1
intron_6_31615736_31616104	6	31615736	31616104	-5.208864212036133	-0.26218961016553854	1.9000009312835853e-07	0.02670076496072314	1	1	1
intron_6_31620858_31622690	6	31620858	31622690	-5.208864212036133	-7.148137654505047	1.9000009312835853e-07	3.5831744985441476e-05	1	1	1
intron_6_31620858_31622727	6	31620858	31622727	5.208864212036132	11.469124005627629	1.9000009312835988e-07	1.3918527002862071e-05	1	1	1
intron_6_27251264_27251750	6	27251264	27251750	5.165341854095457	5.036765612186937	2.399998751546271e-07	6.166845520834268e-05	1	1	1
intron_6_27252949_27254986	6	27252949	27254986	5.15770149230957	6.42323149770331	2.4999975958924605e-07	3.7756777736175275e-05	1	1	1
intron_6_28349964_28359525	6	28349964	28359525	5.1172637939453125	1.0400940253476183	3.0999991507323966e-07	0.0013945301979450667	1	1	1
intron_6_32832824_32835154	6	32832824	32835154	5.117263793945312	68.22429437729585	3.0999991507324146e-07	3.8479170632916626e-07	1	1	1
intron_6_31269525_31355107	6	31269525	31355107	5.102755657631242	0.02533415311586249	3.3474308162268663e-07	2.7897503345799315	3	4	4
intron_6_30924560_30925544	6	30924560	30925544	-5.095874559510882	-0.04873800208107881	3.4713493777012207e-07	0.698058002547987	2	2	2
intron_6_32756466_32758850	6	32756466	32758850	5.003998699824151	0.02638638725556991	5.615313569018645e-07	2.5748874319550428	2	4	4
intron_22_50626278_50626591	22	50626278	50626591	-4.986068713041598	-0.5896721146193639	6.162023722603497e-07	0.004692267034650079	2	2	2
intron_6_31157089_31157358	6	31157089	31157358	4.985716862551374	0.05999537475068625	6.173249268205186e-07	0.42202068337397025	2	2	2
intron_6_32746072_32746582	6	32746072	32746582	-4.953207492828369	-0.18501436808839522	7.300006022670223e-07	0.04977024150570444	1	3	3
intron_6_31269525_31269966	6	31269525	31269966	-4.943106126853643	-0.04520398423105313	7.688760077166076e-07	0.804309676246991	3	4	4
intron_6_32934987_32935536	6	32934987	32935536	-4.9329423904418945	-0.31465118034615214	8.100005136552481e-07	0.012510630990482188	1	1	1
intron_6_32757883_32758850	6	32757883	32758850	-4.930546283721924	-0.06052781864423916	8.199998517617323e-07	0.46343726456825923	1	1	1
intron_6_32756466_32757281	6	32756466	32757281	-4.921234607696532	-0.06512861244959738	8.599996340371784e-07	0.4032677178995924	1	2	2
intron_6_31271868_31271999	6	31271868	31271999	-4.870501844712317	-0.04353112660492744	1.1131516198440422e-06	0.9043071386075371	2	3	3
intron_6_28271934_28272670	6	28271934	28272670	-4.839754104614258	-0.16870489952246356	1.2999987616895199e-06	0.05443750692488781	1	1	1
intron_6_32584378_32589643	6	32584378	32589643	-4.839754104614258	-0.055917295892549825	1.2999987616895199e-06	0.4218276133855797	1	5	5
intron_6_30924560_30925274	6	30924560	30925274	4.786047199272504	0.16151098994417698	1.7009807106379998e-06	0.05714223685098049	2	2	2
intron_6_32950803_32952949	6	32950803	32952949	4.774672508239747	0.08746254412903491	1.7999993037268771e-06	0.15462540050404702	1	1	1
intron_6_31112291_31120335	6	31112291	31120335	-4.684970855712891	-0.15183644825895423	2.79999771663709e-06	0.06128352815332875	1	1	1
intron_12_69570517_69571276	12	69570517	69571276	-4.677778244018556	-28.628200983990865	2.8999991777128003e-06	1.7660506568908543e-06	1	1	1
intron_6_32949399_32949611	6	32949399	32949611	-4.677683042613515	-0.11419426416899027	2.901345500007753e-06	0.08601932946079466	2	2	2
intron_6_31125571_31125739	6	31125571	31125739	-4.657546520233154	-0.06556508392991692	3.2000012849393213e-06	0.32865804977060736	1	1	1
intron_6_26374798_26375797	6	26374798	26375797	-4.627559661865234	-0.1334346991589763	3.699996613045977e-06	0.06794256807018166	1	1	1
intron_6_32065117_32067661	6	32065117	32067661	4.5963287353515625	23.499015145221314	4.300001022525452e-06	2.8302356109592917e-06	1	1	1
intron_6_33287505_33287614	6	33287505	33287614	4.569024085998535	0.12190013600427572	4.900004751900842e-06	0.08371552050134798	1	1	1
intron_6_33287505_33287592	6	33287505	33287592	-4.569024085998534	-0.1100043374180814	4.90000475190087e-06	0.10280038546078261	1	1	1
