gene	chromosome	start_pos	end_pos	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model
intron_6_31269525_31355107	6	31269525	31355107	9.411996081008612	0.06347962989470969	4.86802863969298e-21	1.3584067006038807	3	3.0	3
intron_6_30915037_30915156	6	30915037	30915156	-9.215441703796388	-1.140306908448512	3.099993257551151e-20	0.0029077844996689794	1	1.0	1
intron_6_30884710_30885625	6	30884710	30885625	-9.180273056030275	-39.612964452552184	4.2999966640285715e-20	2.3719730591468714e-06	1	1.0	1
intron_6_30741333_30741614	6	30741333	30741614	9.13402271270752	0.3759671531434025	6.600017980653128e-20	0.02241797068531293	1	1.0	1
intron_6_30740798_30741190	6	30740798	30741190	9.13402271270752	0.4655018940006213	6.600017980653128e-20	0.014623562985315133	1	1.0	1
intron_6_30547530_30552467	6	30547530	30552467	-9.115927696228027	-374.2416262013087	7.800025256781104e-20	2.173459088313931e-08	1	1.0	1
intron_6_30651082_30651266	6	30651082	30651266	-9.110504150390625	-0.510459169567686	8.200002898805007e-20	0.012161134324926	1	1.0	1
intron_6_30651100_30651266	6	30651100	30651266	9.110504150390625	0.4686689401097402	8.200002898805007e-20	0.014426592323111472	1	1.0	1
intron_6_30741704_30741792	6	30741704	30741792	-9.095675468444826	-0.3172914282621885	9.400032720200788e-20	0.031475991938829585	1	1.0	1
intron_6_30741867_30742147	6	30741867	30742147	-9.095675468444824	-0.3606798260226115	9.400032720200922e-20	0.02435860436780807	1	1.0	1
intron_6_30741333_30741792	6	30741333	30741792	9.095675468444824	0.7182569375238883	9.400032720200922e-20	0.0061423766775985395	1	1.0	1
intron_6_31154799_31156731	6	31154799	31156731	8.79996065253219	0.118892323366335	1.368641325540949e-18	0.41791139361248486	3	3.0	3
intron_6_31626162_31626772	6	31626162	31626772	-8.644587516784668	-14.954984493316195	5.4000012763644405e-18	1.716576019368289e-05	1	1.0	1
intron_6_31652551_31656472	6	31652551	31656472	8.63642406463623	20.644964738189156	5.799992185668899e-18	9.007550058786983e-06	1	1.0	1
intron_6_31656633_31657225	6	31656633	31657225	-8.618225097656248	-12.838849633733373	6.79999047606556e-18	2.3290711197177267e-05	1	1.0	1
intron_6_30730727_30730919	6	30730727	30730919	8.586366112447887	0.0635621611159457	8.976331091418258e-18	0.8067192961754903	2	2.0	2
intron_6_31781123_31781481	6	31781123	31781481	-8.458861351013184	-1.0133485648111986	2.7000082333350575e-17	0.0032567979422740536	1	1.0	1
intron_6_31744581_31747387	6	31744581	31747387	-8.431933403015137	-477.21001537177807	3.4000046775399274e-17	1.4685523375631048e-08	1	1.0	1
intron_6_32442693_32443185	6	32442693	32443185	8.389070510864258	0.17171727668973866	4.900007611428998e-17	0.15099961469250217	1	1.0	1
intron_6_31151122_31156731	6	31151122	31156731	-8.302691143529715	-0.09313334278095153	1.017792169051057e-16	0.6000239335760624	2	2.0	2
intron_6_30339930_30340505	6	30339930	30340505	-8.190566062927246	-68.40075111803995	2.6000040939023755e-16	6.953658511688209e-07	1	1.0	1
intron_19_41320470_41322595	19	41320470	41322595	8.052680969238281	17.71637209707844	8.099984276865698e-16	1.104413788396659e-05	1	1.0	1
intron_6_31961094_31961196	6	31961094	31961196	-7.9352922439575195	-0.846492199286863	2.100002456568288e-15	0.005303724717274979	1	1.0	1
intron_6_31961094_31961547	6	31961094	31961547	-7.930132694625093	-0.40279119740892233	2.1891185026395904e-15	0.0229511146422591	2	2.0	2
intron_6_31961386_31961547	6	31961386	31961547	7.929516792297364	0.47477486062196045	2.200002122593541e-15	0.01651744169000112	1	1.0	1
intron_6_31979553_31980451	6	31979553	31980451	7.8346900939941415	42.525052019734225	4.700005017985763e-15	1.981797621978047e-06	1	1.0	1
intron_6_30261479_30261587	6	30261479	30261587	7.709318491912871	0.0884943901631123	1.2649138185636265e-14	0.38997364227213155	3	4.0	4
intron_6_30490515_30491137	6	30490515	30491137	-7.3781310579229675	-0.10479434971751349	1.6052691356802692e-13	0.32800301192781767	2	2.0	2
intron_6_30007593_30491137	6	30007593	30491137	7.277524948120118	0.10277090879945355	3.4000014261307705e-13	0.3271817163414585	1	1.0	1
intron_6_32180126_32180229	6	32180126	32180229	-7.277524948120116	-2.2163034138897464	3.400001426130832e-13	0.0005922692309725811	1	1.0	1
intron_6_31144788_31144885	6	31144788	31144885	7.149200941531718	0.07238193178103429	8.728448278255308e-13	0.6678012986849151	2	2.0	2
intron_6_31143413_31144687	6	31143413	31144687	-7.136220429074972	-0.07869075171774655	9.593212773285204e-13	0.5628667858744273	3	3.0	3
intron_6_28272339_28272670	6	28272339	28272670	7.087525658446179	0.1938865190761361	1.365309957454363e-12	0.06390069089544907	2	2.0	2
intron_6_32192250_32192472	6	32192250	32192472	-6.997807025909424	-4.984674376931588	2.599998555967293e-12	0.00012245309883624283	1	1.0	1
intron_6_29945091_29945234	6	29945091	29945234	-6.9606732275494965	-0.06349343832672077	3.386504613328117e-12	0.7686448725463672	2	5.0	5
intron_6_26368267_26368565	6	26368267	26368565	-6.948191165924072	-0.749023733521515	3.699994209007657e-12	0.004108884075195651	1	1.0	1
intron_6_29725563_29726011	6	29725563	29726011	-6.93689319530738	-0.07637992177509705	4.008166166269211e-12	0.5790842515353651	2	3.0	3
intron_6_26368050_26368178	6	26368050	26368178	-6.926953315734862	-11.883756243837757	4.300004018573312e-12	1.63232854861298e-05	1	1.0	1
intron_6_31651776_31652400	6	31651776	31652400	-6.874335120126436	-0.23594976192026534	6.227964418382467e-12	0.05461375705475013	2	2.0	2
intron_6_30741333_30742147	6	30741333	30742147	6.836922482738192	0.3256260373374805	8.09124934366501e-12	0.01664394197145743	2	2.0	2
intron_6_29944616_29945059	6	29944616	29945059	-6.811113477371982	-0.06496285352562169	9.684619855701795e-12	0.7061830380021927	2	4.0	4
intron_6_30201138_30213305	6	30201138	30213305	6.623834133148194	0.15641514369967216	3.49999486311564e-11	0.10088716392889265	1	1.0	1
intron_6_30201138_30204656	6	30201138	30204656	-6.623834133148193	-0.22730136842237428	3.49999486311564e-11	0.047773758406698535	1	1.0	1
intron_6_30204765_30213305	6	30204765	30213305	-6.6004180908203125	-0.19437461559595628	4.09999863874975e-11	0.06437626807399054	1	1.0	1
intron_6_32154394_32154587	6	32154394	32154587	-6.474700927734376	-77.50620208308104	9.499991748536059e-11	4.021284813512516e-07	1	1.0	1
intron_6_32154777_32155030	6	32154777	32155030	-6.474700927734375	-7.002982525308894	9.499991748536126e-11	4.9257420055065736e-05	1	1.0	1
intron_6_32845785_32847068	6	32845785	32847068	6.438120657417857	0.9199638876902305	1.2096183032278797e-10	0.002535945973096924	2	2.0	2
intron_6_30895514_30896621	6	30895514	30896621	-6.427171707153321	-0.6939852991700288	1.2999995132524532e-10	0.005056572730562413	1	1.0	1
intron_6_28123211_28136745	6	28123211	28136745	6.427171707153319	3.0970281901907666	1.2999995132524767e-10	0.0002166706729934721	1	1.0	1
intron_6_30894671_30896621	6	30894671	30896621	6.345956955405502	0.8345290135666091	2.2104703880623716e-10	0.00340490929324197	2	2.0	2
intron_6_31651776_31652247	6	31651776	31652247	5.997807025909423	0.3824789941539442	1.9999998657703643e-09	0.01839747789320498	1	2.0	2
intron_6_32166266_32166498	6	32166266	32166498	-5.9814788572161435	-74.71562968450047	2.211207637223043e-09	3.642526913811389e-07	2	2.0	2
intron_6_26370603_26373276	6	26370603	26373276	-5.962755174370968	-0.3724711508234821	2.4801989715394327e-09	0.012532342237504638	2	2.0	2
intron_6_29944397_29944500	6	29944397	29944500	-5.861031532287597	-0.06134568436574521	4.600006076573428e-09	0.5562775646669381	1	2.0	2
intron_6_30918915_30919724	6	30918915	30919724	-5.758231163024903	-18.185693744389688	8.499990325058555e-09	7.80383111282744e-06	1	1.0	1
intron_6_30921691_30922116	6	30921691	30922116	-5.748971230738117	-0.8265800294175533	8.978809274932494e-09	0.00378195069372	2	2.0	2
intron_6_30920216_30920333	6	30920216	30920333	-5.746703624725342	-0.15308034385704564	9.100002776607305e-09	0.11013586067513015	1	1.0	1
intron_6_30919848_30920089	6	30919848	30920089	5.746703624725342	0.19073338306780158	9.100002776607305e-09	0.07094375705417107	1	1.0	1
intron_6_30922554_30922706	6	30922554	30922706	-5.743024826049805	-0.07582119216649753	9.300008563156644e-09	0.4489380240501129	1	1.0	1
intron_6_31150860_31150959	6	31150860	31150959	5.743024826049805	0.8837044733185532	9.300008563156644e-09	0.002729686255242321	1	1.0	1
intron_16_58040698_58041617	16	58040698	58041617	5.718142637271047	0.21420700795588207	1.0769472534506809e-08	0.055902634270283885	2	2.0	2
intron_6_31355223_31355317	6	31355223	31355317	5.668777684667521	0.03673721587495589	1.4381983307583238e-08	1.5950480243475016	5	5.0	5
intron_6_29890296_29890439	6	29890296	29890439	5.661563396453857	0.08898160084469739	1.500000701626362e-08	0.28635235203752923	1	1.0	1
intron_6_31271348_31356688	6	31271348	31356688	5.597933268328233	0.062824845028045	2.1692221272950412e-08	0.5199779247547124	2	2.0	2
intron_6_29889823_29890264	6	29889823	29890264	-5.509428977966309	-0.20246158386535046	3.599996069003969e-08	0.05525227481019724	1	3.0	3
intron_16_58041415_58041617	16	58041415	58041617	-5.411669415121753	-0.31676973570045946	6.243988173045515e-08	0.023121239508068582	2	2.0	2
intron_6_31651776_31652424	6	31651776	31652424	5.395048392627205	0.556729902994859	6.850508664357034e-08	0.005324708544853798	2	2.0	2
intron_6_31269525_31269966	6	31269525	31269966	-5.376376152038574	-0.07980145305713665	7.599993300302669e-08	0.2993144340267724	1	2.0	2
intron_6_31639226_31640199	6	31639226	31640199	5.362671852111816	0.4564097540389736	8.199989196183625e-08	0.007840248530939726	1	1.0	1
intron_6_31145493_31145696	6	31145493	31145696	5.356179714202881	0.5334029567532723	8.49999673607029e-08	0.006890909083437148	1	1.0	1
intron_6_31615736_31616104	6	31615736	31616104	-5.208864212036133	-0.2526815856221325	1.9000009312835853e-07	0.030365867949151127	1	1.0	1
intron_6_31270085_31270210	6	31270085	31270210	-5.190260410308838	-1.086555887332217	2.1000017695388825e-07	0.0014080042347199013	1	2.0	2
intron_6_27251264_27251750	6	27251264	27251750	5.165341854095459	10.931325580497177	2.399998751546245e-07	1.2100475846269561e-05	1	1.0	1
intron_6_31616145_31616344	6	31616145	31616344	5.165341854095459	0.6092401824913126	2.399998751546245e-07	0.005392195920061418	1	1.0	1
intron_6_28271934_28272670	6	28271934	28272670	-5.0789043032945065	-0.08745794272062905	3.7961785458419905e-07	0.17927492902730804	2	2.0	2
intron_6_31271868_31271999	6	31271868	31271999	-5.068957805633545	-0.1606778277976785	3.999998825046332e-07	0.06259116128681072	1	2.0	2
