gene	chromosome	start_pos	end_pos	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model
intron_6_30884710_30888688	6	30884710	30888688	9.180273056030273	13.04011615956195	4.2999966640286323e-20	2.5546498455920046e-05	1	1	1
intron_6_30741333_30741792	6	30741333	30741792	9.137351989746096	1.0271735070540546	6.400019038847205e-20	0.003757330674803358	1	1	1
intron_6_30741333_30741614	6	30741333	30741614	9.137351989746094	0.600732042459751	6.400019038847386e-20	0.010985136108283243	1	1	1
intron_6_30741333_30742147	6	30741333	30742147	9.137351989746094	0.7687492766224903	6.400019038847386e-20	0.0067080701693613114	1	1	1
intron_6_30740798_30741190	6	30740798	30741190	9.13402271270752	0.19701983277303198	6.600017980653128e-20	0.10380030230657256	1	1	1
intron_6_30688942_30690047	6	30688942	30690047	-9.120179176330568	-0.9318766493422401	7.500022904409536e-20	0.00456509876858799	1	1	1
intron_6_30547530_30552467	6	30547530	30552467	-9.115927696228026	-219.55824437313805	7.800025256781271e-20	8.086874356274058e-08	1	1	1
intron_6_30651082_30651266	6	30651082	30651266	-9.110504150390625	-0.5416051773236459	8.200002898805007e-20	0.013514544812730978	1	1	1
intron_6_30651100_30651266	6	30651100	30651266	9.110504150390625	0.45337714171532656	8.200002898805007e-20	0.01928625021028249	1	1	1
intron_6_30741867_30742147	6	30741867	30742147	-9.095675468444824	-0.4107719127767499	9.400032720200922e-20	0.023687548318289172	1	1	1
intron_6_30741704_30741792	6	30741704	30741792	-9.095675468444822	-0.321432637565634	9.400032720201058e-20	0.03868491526187947	1	1	1
intron_6_30730727_30730919	6	30730727	30730919	8.99449754006846	0.05947805132006836	2.3731522943749377e-19	1.138926422498665	3	3	3
intron_6_31271348_31356688	6	31271348	31356688	8.96356511750939	0.05093163270239756	3.1434682074574156e-19	2.2225662662508254	6	6	6
intron_6_30730818_30730919	6	30730818	30730919	-8.689774939231889	-0.06029533192412404	3.631581959182624e-18	1.06090290322995	3	3	3
intron_6_31652551_31656472	6	31652551	31656472	8.63642406463623	21.68955074446715	5.799992185668899e-18	8.305384295791633e-06	1	1	1
intron_6_31656633_31657225	6	31656633	31657225	-8.618225097656252	-11.656019357743828	6.799990476065315e-18	2.8758108999935835e-05	1	1	1
intron_6_31151122_31156731	6	31151122	31156731	-8.562966346740723	-0.09335668789901713	1.1000004961977527e-17	0.5935532175534017	1	1	1
intron_6_31154799_31156731	6	31154799	31156731	8.547770378682609	0.10794654530252062	1.2548906171214206e-17	0.46224094219178496	3	3	3
intron_6_31781123_31781481	6	31781123	31781481	-8.458861351013184	-0.8410136394091644	2.7000082333350575e-17	0.0048120299354475395	1	1	1
intron_6_31781123_31781389	6	31781123	31781389	8.435425758361816	1.1011554179161702	3.299992533010445e-17	0.002806966043000137	1	1	1
intron_6_31744581_31747387	6	31744581	31747387	-8.431933403015137	-54.02699543130467	3.4000046775399274e-17	1.1660381684084843e-06	1	1	1
intron_6_31270085_31355317	6	31270085	31355317	8.202084808138114	0.051234745134723744	2.362535262664819e-16	1.8837809238774827	6	6	6
intron_19_41320470_41322600	19	41320470	41322600	-8.05268096923828	-208.91838911334796	8.099984276865759e-16	8.560191815584568e-08	1	1	1
intron_19_41320470_41322595	19	41320470	41322595	8.05268096923828	844.4499615316757	8.099984276865759e-16	5.2394897237674595e-09	1	1	1
intron_6_30199153_30213305	6	30199153	30213305	7.965552084890318	0.21002751212013104	1.6448773255464101e-15	0.07780822135870671	3	3	3
intron_6_31961094_31961547	6	31961094	31961547	-7.9357988140692	-0.3971593892949798	2.0914480054822106e-15	0.024556140584676558	2	2	2
intron_6_31961094_31961196	6	31961094	31961196	-7.93529224395752	-0.8435973678595576	2.1000024565682655e-15	0.00544183665758081	1	1	1
intron_6_31961386_31961547	6	31961386	31961547	7.929516792297362	0.48994547040026487	2.2000021225935655e-15	0.015805628034848848	1	1	1
intron_6_31269525_31355107	6	31269525	31355107	7.892165376739713	0.07472735828245587	2.96987811908251e-15	0.7525153865065849	2	3	3
intron_6_31968538_31968623	6	31968538	31968623	-7.85810136795044	-1.0874882336898253	3.8999964153435325e-15	0.0032116693164348314	1	1	1
intron_6_31979553_31980451	6	31979553	31980451	7.8346900939941415	16.29164084155185	4.700005017985763e-15	1.4016813634010924e-05	1	1	1
intron_6_30201138_30204656	6	30201138	30204656	-7.822119832496155	-0.11906494652867507	5.194112761179911e-15	0.2338087715349383	2	2	2
intron_6_30490515_30491137	6	30490515	30491137	-7.475388328590806	-0.08481231716283318	7.697620216428574e-14	0.5578957746274279	2	2	2
intron_6_31968538_31968686	6	31968538	31968686	7.422282561016871	0.9538774980175021	1.151188867389357e-13	0.0037433625527029135	2	2	2
intron_6_30261479_30261587	6	30261479	30261587	7.272861837706368	0.05862989324307178	3.5195024749831474e-13	0.9178546088172082	6	6	6
intron_6_28272339_28272670	6	28272339	28272670	7.1873620390078266	0.20496843159748376	6.60550908490497e-13	0.0748102480104126	2	2	2
intron_6_30007593_30491137	6	30007593	30491137	6.9960166176274985	0.0757354572049976	2.6334231618601396e-12	0.60369359488286	3	4	4
intron_6_31463279_31463371	6	31463279	31463371	6.952055931091308	0.255457645420435	3.600006081449676e-12	0.048603547655152096	1	1	1
intron_6_26368050_26368565	6	26368050	26368565	-6.948191165924073	-0.5814746399710695	3.699994209007629e-12	0.008489561531847656	1	1	1
intron_6_26368267_26368565	6	26368267	26368565	-6.948191165924072	-0.892735133708826	3.699994209007657e-12	0.0036016504717519817	1	1	1
intron_6_31148728_31148892	6	31148728	31148892	-6.852203719446334	-0.0795792401939002	7.272089276574275e-12	0.4701838401704923	2	2	2
intron_6_29944616_29945059	6	29944616	29945059	-6.84541740627039	-0.061704728251203524	7.62532040747827e-12	0.7703595332850912	2	4	4
intron_6_31143413_31144687	6	31143413	31144687	-6.729725313206088	-0.04604796054181171	1.6998367805067054e-11	1.3404302996971593	3	3	3
intron_6_32442693_32443185	6	32442693	32443185	6.710574124183749	0.061940380468218835	1.938601375656828e-11	0.7417740031968065	2	2	2
intron_6_32845785_32847068	6	32845785	32847068	6.645462442565075	0.49889988368547844	3.0226653239514724e-11	0.008659902960698072	2	2	2
intron_6_30204765_30213305	6	30204765	30213305	-6.6004180908203125	-0.17750964894895685	4.09999863874975e-11	0.07713595001377668	1	1	1
intron_6_28271934_28272670	6	28271934	28272670	-6.59668169267578	-0.07695723392076396	4.204621403419746e-11	0.4475153100145719	3	3	3
intron_6_31355223_31355317	6	31355223	31355317	6.595119889476166	0.06591651947368544	4.249123505170501e-11	0.6267814224895993	4	6	6
intron_6_31269525_31269966	6	31269525	31269966	-6.579679914839001	-0.07427096481507212	4.714621084073246e-11	0.4977013383171641	2	5	5
intron_6_26407952_26409533	6	26407952	26409533	6.573038716104791	0.298682665773765	4.929863275655496e-11	0.026597616441871395	2	2	2
intron_6_30201138_30213305	6	30201138	30213305	6.482860088348389	0.11809466100772896	8.999995204772518e-11	0.16661747959523243	1	1	1
intron_6_32154777_32155030	6	32154777	32155030	-6.474700927734376	-6.037292348798739	9.499991748536059e-11	6.25773299479875e-05	1	1	1
intron_6_26466088_26467719	6	26466088	26467719	6.466950893402099	8.700203958604387	1.0000012822311549e-10	3.9187528207720573e-05	1	1	1
