gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status	GeneID	chromosome	map_location	start_position	end_position
ENSG00000204525.16	HLA-C	3.81207393560718e-28	4	3	7.38116707325842e-19	Skin_Sun_Exposed_Lower_leg	0.000939999844357367	Pancreas	2.69751996908143	0.0216550623673591	0.199399415952391	-8.86899095697217	-3.30789518356323	-6.09629774740607	2.27119900030596	3	0	3107	6	6p21.33	31268748	31272091
ENSG00000204427.11	ABHD16A	2.61751628816058e-23	5	4	7.99998451934065e-18	Kidney_Cortex	0.330105452481415	Skin_Not_Sun_Exposed_Suprapubic	2.80312170082243	0.0761932530304266	0.134628337009899	-2.18756258404888	8.5995922088623	2.53901075874165	4.33765038740625	4	0	7920	6	6p21.33	31686954	31703323
ENSG00000237923.1	XXbac-BPG27H4.8	2.51636962253555e-22	3	2	6.39971969465307e-19	Esophagus_Mucosa	9.80104776873945e-08	Skin_Not_Sun_Exposed_Suprapubic	2.80495270971194	0.0333256033237152	0.161721686964343	-8.88486715125418	-5.33037443782738	-7.55588798093362	1.93944193613542	2	0	NA	NA	NA	NA	NA
ENSG00000204542.2	C6orf15	7.99211688650091e-22	2	2	1.31841959322387e-21	Skin_Sun_Exposed_Lower_leg	1.96774075266826e-06	Skin_Not_Sun_Exposed_Suprapubic	1.68489186850812	0.315108131491881	0.315108131491881	-9.54829994060405	-4.75670943908922	-7.15250468984664	3.38816613629018	2	0	29113	6	6p21.33	31111222	31112574
ENSG00000204421.2	LY6G6C	9.46415456892071e-22	5	4	6.26245913622277e-06	Esophagus_Mucosa	0.0100000010424628	Skin_Sun_Exposed_Lower_leg	2.2653119713566	4.70864111339226e-17	0.311905512945624	-4.51732890928794	3.2388801574707	0.00887379047601638	4.12912047987536	4	0	80740	6	6p21.33	31718647	31721745
ENSG00000214894.6	LINC00243	5.89781834027332e-21	3	3	5.20309751133966e-21	Esophagus_Mucosa	5.7316273995561e-15	Skin_Sun_Exposed_Lower_leg	2.49990058315844	0.184458032139789	0.184458032139789	-9.40499844544919	-7.80971757551899	-8.60198056823014	0.797694812661398	3	0	401247	6	6p21.33	30812865	30830658
ENSG00000213719.8	CLIC1	3.61762192877032e-20	5	3	3.69999800261192e-17	Skin_Not_Sun_Exposed_Suprapubic	0.298718005849313	Kidney_Cortex	2.62699397835572	4.97949304764214e-17	0.976978371081259	1.03918650413342	8.42203521728516	5.4308682124865	3.13950798199232	3	0	1192	6	6p21.33	31730580	31737317
ENSG00000204613.10	TRIM10	4.22602370061074e-20	3	3	9.90000697630879e-19	Kidney_Cortex	0.00110000018089732	Skin_Sun_Exposed_Lower_leg	1.94929455164515	0.0668450002367017	0.0668450002367017	3.26361632347107	8.83623313903808	5.18900205450008	3.16023386940515	3	0	10107	6	6p22.1	30151938	30163215
ENSG00000204410.14	MSH5	6.48393058886656e-20	5	5	2.8641351728307e-18	Pancreas	8.29999608206115e-05	Kidney_Cortex	2.89925038498031	0.140799039823635	0.140799039823635	3.9355685710907	8.71670563948811	5.86895904017215	2.23965750999947	5	0	4439	6	6p21.33	31740004	31762675
ENSG00000244731.7	C4A	2.874917115201e-19	5	1	3.84278971504859e-20	Skin_Not_Sun_Exposed_Suprapubic	1.01776320855057e-16	Pancreas	4.82175943626171	0.00645966543671818	4.82175943626171	8.30269452299283	9.1923702045036	8.80925342101836	0.356953492449542	1	0	720	6	6p21.33	31982056	32002680
ENSG00000146112.11	PPP1R18	8.65188743301497e-19	4	2	7.83215016218744e-20	Skin_Not_Sun_Exposed_Suprapubic	0.519999993383419	Pancreas	3.00211480225154	8.8369424023139e-19	0.997885197748457	-0.643345415592194	9.1154820553674	1.79636145214771	4.8794137354798	2	0	170954	6	6p21.33	30676388	30687206
ENSG00000137404.14	NRM	1.8818298722438e-18	5	3	3.79858548213012e-20	Kidney_Cortex	0.755074092698107	Skin_Sun_Exposed_Lower_leg	3.00401810994524	1.04543124541338e-05	0.920163722098075	0.311955828917167	9.19361436153361	2.10435798911872	3.96305024067511	3	0	11270	6	6p21.33	30688046	30691419
ENSG00000204444.10	APOM	2.31698716585178e-18	4	1	2.59578625153731e-18	Skin_Not_Sun_Exposed_Suprapubic	5.79999218566894e-18	Esophagus_Mucosa	3.92492671598081	2.35494308045884e-17	3.92492671598081	8.63642406463623	8.72784170347619	8.65927847434622	0.0457088194199775	1	0	55937	6	6p21.33	31652403	31658209
ENSG00000204305.13	AGER	1.37307002962786e-17	5	3	9.43556794795009e-11	Esophagus_Mucosa	0.180000015550816	Kidney_Cortex	4.17390525044152	0.00647908002259825	0.1843610996415	-6.47572833553501	-1.34075498580933	-4.23163001826501	2.16420245086888	3	0	177	6	6p21.32	32180968	32184379
ENSG00000204618.8	RNF39	4.04750047424073e-17	5	3	5.0537338157445e-10	Pancreas	0.0500707043746051	Esophagus_Mucosa	2.96525160592182	0.0285888750208533	0.846233651186641	-6.21742692574091	3.15590667724609	-2.44719791918407	3.48495327681542	3	0	80352	6	6p22.1	30070265	30080624
ENSG00000204366.3	ZBTB12	9.36868983912468e-17	2	2	1.99999546438865e-17	Pancreas	0.262606605578138	Skin_Not_Sun_Exposed_Suprapubic	1.02016016415295	0.979839835847052	0.979839835847052	-8.49379348754883	1.12025149488417	-3.68677099633233	6.79815640171088	2	0	221527	6	6p21.33	31899193	31902330
ENSG00000137338.5	PGBD1	3.70146684957862e-16	4	2	6.79997847500041e-17	Esophagus_Mucosa	1.59999858171784e-05	Pancreas	2.77214137221103	1.39479463716785e-16	1.15963419351098	-8.35045623779297	8.35045623779297	-2.19979989528656	7.2762448564889	2	0	84547	6	6p22.1	28281563	28303680
ENSG00000204396.10	VWA7	4.97432061828667e-16	5	5	1.89235700749398e-17	Kidney_Cortex	0.314684115461307	Esophagus_Mucosa	2.8616778967675	0.13958574797846	0.13958574797846	-2.49042742783448	8.50021755680923	0.122700592057944	4.71890612611756	5	0	80737	6	6p21.33	31765589	31777327
ENSG00000281706.2	LINC01012	1.28894591920402e-15	3	2	2.09999830838993e-16	Esophagus_Mucosa	2.90000169578597e-05	Skin_Not_Sun_Exposed_Suprapubic	2.24812694948075	2.68031548330893e-16	0.751873050519249	4.18118000030518	8.21623039245605	5.5261967976888	2.32963743010201	2	0	100507173	6	6p22.1	27694034	27710221
ENSG00000224389.8	C4B	1.41367943605132e-15	2	2	2.10000245656827e-15	Skin_Not_Sun_Exposed_Suprapubic	3.55034293135986e-15	Esophagus_Mucosa	1.82677078799943	0.173229212000569	0.173229212000569	-7.93529224395752	-7.8698614239033	-7.90257683393041	0.0462665765589384	2	0	721	6	6p21.33	32014794	32035417
ENSG00000233822.4	HIST1H2BN	1.60974864394946e-15	4	2	1.8000067659057e-16	Pancreas	0.549999990087699	Skin_Sun_Exposed_Lower_leg	2.52284873897269	8.54736348778895e-17	1.47715126102731	0.597760140895844	8.23470497131348	5.5240680011229	3.61518123670012	2	0	NA	NA	NA	NA	NA
ENSG00000204394.12	VARS	1.68104519340039e-15	5	5	4.425244331235e-09	Skin_Sun_Exposed_Lower_leg	0.420000015398974	Kidney_Cortex	1.72537514783991	0.249478954608323	0.249478954608323	-5.86745898209719	1.47579097747803	-2.6568871702407	3.06511963406632	5	0	NA	NA	NA	NA	NA
ENSG00000204713.10	TRIM27	2.69612613715063e-15	5	3	6.04209761971243e-11	Pancreas	0.130915233296216	Kidney_Cortex	3.8831815768731	0.00176065178742815	0.23693795070864	1.51050257316393	6.54269252277329	2.80562498348243	2.10572797326184	3	0	5987	6	6p22.1	28903001	28923984
