gene	gene_name	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model	GeneID	chromosome.x	start_position	end_position
ENSG00000244731.7	C4A	9.1923702045036	0.12989491809888	3.84278971504859e-20	0.283206376156207	4	4	4	720	6	31982056	32002680
ENSG00000146112.11	PPP1R18	9.1154820553674	1.67502057783079	7.83215016218744e-20	0.00143000011611053	2	2	2	170954	6	30676388	30687206
ENSG00000204444.10	APOM	8.72784170347619	0.685519486734388	2.59578625153731e-18	0.00932775503136466	2	3	3	55937	6	31652403	31658209
ENSG00000214894.6	LINC00243	-8.59122568372226	-0.325622634856625	8.60464314410038e-18	0.0392409606755697	3	3	3	401247	6	30812865	30830658
ENSG00000213719.8	CLIC1	8.42203521728516	1.99961954222971	3.69999800261192e-17	0.000930070846182735	1	1	1	1192	6	31730580	31737317
ENSG00000137338.5	PGBD1	-8.35045623779297	-1.14287633400438	6.7999784750005e-17	0.00234283467120419	1	1	1	84547	6	28281563	28303680
ENSG00000137312.14	FLOT1	-8.00038723434136	-0.759043157033677	1.24028534368953e-15	0.00543151272708953	3	3	3	10211	6	30727708	30742846
ENSG00000224389.8	C4B	-7.93529224395752	-0.130902419551178	2.10000245656829e-15	0.189847136445053	1	3	3	721	6	32014794	32035417
ENSG00000204632.11	HLA-G	7.70742070572298	0.11571487332472	1.2838602542539e-14	0.244231497415588	6	6	6	3135	6	29826473	29831129
ENSG00000206344.7	HCG27	7.35431122161477	0.147747583536619	1.91914118131631e-13	0.167301758468295	3	3	3	253018	6	31197759	31203967
ENSG00000184357.4	HIST1H1B	7.28570175170898	30.5924128262512	3.20000197898372e-13	2.73879501657187e-06	1	1	1	NA	NA	NA	NA
ENSG00000204308.7	RNF5	7.19651543617364	0.384397341070239	6.17707983607471e-13	0.019157341352834	2	2	2	6048	6	32178404	32180792
ENSG00000186470.13	BTN3A2	7.00903995736957	0.0495512781940109	2.39958924504459e-12	1.06528566434313	3	3	3	11118	6	26365169	26378319
ENSG00000231852.6	CYP21A2	-6.7580848552571	-0.110386947336798	1.39827635751005e-11	0.174415073402564	2	4	4	1589	6	32038414	32041643
ENSG00000204644.9	ZFP57	-6.66277608008664	-0.0364628846380389	2.68702904990208e-11	2.15293459596861	2	2	2	346171	6	29672391	29681151
ENSG00000204616.10	TRIM31	6.48454475402832	0.200176768516292	8.90001041075873e-11	0.0671215900512202	1	1	1	11074	6	30102891	30113089
ENSG00000224843.6	LINC00240	-6.40552961475224	-0.331273232002623	1.4984829425398e-10	0.0194422302639844	3	3	3	100133205	6	26956992	27023973
ENSG00000197062.11	ZSCAN26	6.39402908072458	0.158897070663882	1.61570679654143e-10	0.0964978740479022	3	3	3	7741	6	28267049	28278217
ENSG00000204592.8	HLA-E	-6.1297812461853	-0.356185227096241	8.79999842046618e-10	0.0202038322252408	1	1	1	3133	6	30489507	30494193
ENSG00000204610.12	TRIM15	6.07510435832115	0.292535426127046	1.23907113832871e-09	0.029243134202172	2	2	2	89870	6	30163545	30172692
ENSG00000204525.16	HLA-C	-6.02703299558118	-0.104125635745439	1.66996920329432e-09	0.222535855202849	3	5	5	3107	6	31268748	31272091
ENSG00000204469.12	PRRC2A	5.93159818649292	1.43911316959045	3.00000073127886e-09	0.00114363128602451	1	1	1	7916	6	31620714	31637779
ENSG00000232629.8	HLA-DQB2	5.91101789474487	0.921044887380261	3.40000089999631e-09	0.00260563065524121	1	1	1	3120	6	32756093	32763552
ENSG00000204420.8	MPIG6B	-5.83129167556763	-0.457655928167128	5.49999475227082e-09	0.0105311748657335	1	1	1	80739	6	31720556	31726713
ENSG00000137331.11	IER3	-5.68734279989864	-0.409005891038066	1.29031284601955e-08	0.0107364726266321	2	2	2	8870	6	30743198	30744546
ENSG00000204314.10	PRRT1	5.57814923191082	0.118138608688216	2.43091070095073e-08	0.144414970827952	3	3	3	80863	6	32148327	32153625
ENSG00000204655.11	MOG	-5.54571364837217	-0.319824730014415	2.92757613084875e-08	0.0183933441580364	2	2	2	4340	6	29657091	29672364
ENSG00000204310.12	AGPAT1	5.53997065933951	1.52238798624441	3.02522328159692e-08	0.000730969536778903	2	2	2	10554	6	32168211	32178107
ENSG00000204536.13	CCHCR1	-5.52057462487264	-0.107892180734691	3.3789285400667e-08	0.197258748116564	3	3	3	54535	6	31142438	31158208
ENSG00000204371.11	EHMT2	-5.48344303257007	-0.443689567571349	4.17126641606186e-08	0.00987269110572895	2	2	2	10919	6	31879758	31897697
ENSG00000240053.8	LY6G5B	-5.4716246341985	-0.287980297750098	4.45928564088576e-08	0.024728210196279	3	3	3	58496	6	31670950	31672449
ENSG00000198563.13	DDX39B	5.46136569564151	0.338968222579025	4.72485624397906e-08	0.0169161011101152	2	2	2	7919	6	31530225	31542002
ENSG00000137411.16	VARS2	5.45475892667594	0.0826240432362485	4.9039329753023e-08	0.288455787703305	4	4	4	57176	6	30914237	30926458
ENSG00000235109.7	ZSCAN31	-5.34185552597046	-0.150920040041037	9.19999669965811e-08	0.0823339116801124	1	1	1	64288	6	28324736	28359156
ENSG00000237923.1	XXbac-BPG27H4.8	-5.33037443782738	-0.111094130477557	9.80104776873945e-08	0.158102815697468	2	3	3	NA	NA	NA	NA
ENSG00000204394.12	VARS	-5.25255966186523	-2.02083801622392	1.49999852096358e-07	0.000411109200631361	1	1	1	NA	NA	NA	NA
ENSG00000226979.8	LTA	-5.24488939687747	-0.676881038408674	1.56376106601668e-07	0.00412340130905518	2	2	2	4049	6	31560549	31574323
ENSG00000112812.15	PRSS16	-5.12304365426286	-0.214370610616277	3.00642709079158e-07	0.0334651142103149	2	2	2	10279	6	27247700	27256619
ENSG00000204257.14	HLA-DMA	-5.12195398235151	-0.146672057346934	3.02385695602171e-07	0.0640982388706334	2	2	2	3108	6	32948617	32953096
ENSG00000281831.1	HCP5B	-5.03733972186678	-0.0469218986477392	4.72046539125638e-07	0.758285428495111	6	7	7	352990	6	29871894	29873782
ENSG00000233822.4	HIST1H2BN	5.02910192096879	0.278886335240692	4.92782418778401e-07	0.0159304496709484	2	2	2	NA	NA	NA	NA
ENSG00000204542.2	C6orf15	-4.75670943908922	-0.261243390901724	1.96774075266826e-06	0.0191474621309806	3	3	3	29113	6	31111222	31112574
ENSG00000204410.14	MSH5	4.69631907775253	0.435849422657038	2.64891645038419e-06	0.00539273849130795	3	3	3	4439	6	31740004	31762675
ENSG00000204305.13	AGER	-4.63564125922247	-0.120690981508891	3.55832624698042e-06	0.108713477665433	4	5	5	177	6	32180968	32184379
ENSG00000189298.13	ZKSCAN3	4.60598422501485	0.223839778397637	4.10519511632815e-06	0.0273151690798109	3	3	3	80317	6	28349912	28369173
ENSG00000066379.14	ZNRD1	4.55827731051023	0.124833859294174	5.15749105361431e-06	0.0855439304616311	4	4	4	NA	NA	NA	NA
ENSG00000213676.10	ATF6B	4.5525484085083	0.195104315383356	5.29999603345247e-06	0.0403352983738825	1	2	2	1388	6	32115263	32128245
ENSG00000149480.6	MTA2	4.54262666041243	0.40787585840243	5.55575944944104e-06	0.00830481598216246	2	2	2	9219	11	62593213	62601864
ENSG00000179344.16	HLA-DQB1	4.54095506668091	0.50251871777078	5.59999668500503e-06	0.0052533373720756	1	3	3	3119	6	32659466	32666656
ENSG00000204421.2	LY6G6C	-4.49189172077522	-0.836615062151779	7.05933141578737e-06	0.00188069928956169	2	2	2	80740	6	31718647	31721745
ENSG00000272217.1	XXbac-BPG157A10.21	4.48265261434105	0.627550200105302	7.37208846414282e-06	0.00296635760895585	2	2	2	NA	NA	NA	NA
ENSG00000237441.9	RGL2	-4.44674415707713	-0.380292087452973	8.71815663683004e-06	0.00835115403420766	3	3	3	5863	6	33291653	33299364
ENSG00000187987.9	ZSCAN23	-4.44507798295225	-0.0773904579309612	8.78599913463163e-06	0.211901062589707	2	2	2	222696	6	28425515	28443553
ENSG00000204428.12	LY6G5C	-4.31445121765137	-0.0862389095015346	1.59999858171782e-05	0.168747907133257	1	1	1	80741	6	31676683	31680372
ENSG00000254772.9	EEF1G	-4.31445121765137	-0.409486877401804	1.59999858171783e-05	0.00755144925253016	1	1	1	1937	11	62559595	62573890
ENSG00000124942.13	AHNAK	4.25398445129395	1.35221469616668	2.09999889693866e-05	0.000692498731751696	1	1	1	79026	11	62433543	62546805
ENSG00000223501.8	VPS52	-4.19132570345	-0.411269838514388	2.77329197650093e-05	0.00645216915998304	2	2	2	6293	6	33250271	33271964
ENSG00000281706.2	LINC01012	4.18118000030518	0.32720799116707	2.90000169578597e-05	0.0106940995796085	1	1	1	100507173	6	27694034	27710221
ENSG00000103145.10	HCFC1R1	-4.14305614817672	-0.486432336872283	3.42707996919346e-05	0.00507286799305164	3	3	3	54985	16	3022619	3024285
ENSG00000168958.19	MFF	4.13175773620605	0.313786647127101	3.59999735141506e-05	0.011205325665683	1	2	2	56947	2	227325232	227357835
ENSG00000166181.12	API5	-4.1193151473999	-0.772055929745648	3.80000130883382e-05	0.00198268962951386	1	1	1	8539	11	43311969	43344529
ENSG00000149489.8	ROM1	-4.08030794984115	-0.204653844543188	4.49760759126548e-05	0.026952808697035	2	2	2	6094	11	62613256	62615115
