gene	chromosome	start_pos	end_pos	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model
intron_6_31270085_31355317	6	31270085	31355317	9.659477898454105	0.03149243016929765	4.481420256313092e-22	6.249169082327409	7	7.0	7
intron_6_31271348_31356688	6	31271348	31356688	9.487974645750118	0.03351461400404929	2.355665698456055e-21	5.7715624067255895	9	11.0	11
intron_6_30915037_30915156	6	30915037	30915156	-9.215441703796387	-1.0369944954914747	3.099993257551174e-20	0.0036446509012602515	1	1.0	1
intron_6_30884710_30888688	6	30884710	30888688	9.180273056030275	8.704790414279833	4.2999966640285715e-20	5.172401159001007e-05	1	1.0	1
intron_6_30884710_30885625	6	30884710	30885625	-9.180273056030272	-52.61259580804146	4.2999966640287274e-20	1.415889559039614e-06	1	1.0	1
intron_6_30741333_30741792	6	30741333	30741792	9.162005919125123	4.257680699964494	5.094144512066749e-20	0.00020348988114949617	2	2.0	2
intron_6_30740798_30741190	6	30740798	30741190	9.137351989746092	0.23275782747050397	6.400019038847433e-20	0.06756253161540259	1	1.0	1
intron_6_30688942_30690842	6	30688942	30690842	-9.120179176330566	-2.134688534800111	7.5000229044097e-20	0.000803240262184038	1	1.0	1
intron_6_30547530_30552467	6	30547530	30552467	-9.115927696228027	-212.64900196289605	7.800025256781104e-20	8.033603831073379e-08	1	1.0	1
intron_6_30651100_30651266	6	30651100	30651266	9.110504150390625	0.2779973550175905	8.200002898805007e-20	0.047362342770823636	1	1.0	1
intron_6_30651082_30651266	6	30651082	30651266	-9.110504150390625	-0.4131369696423608	8.200002898805007e-20	0.02144501651499936	1	1.0	1
intron_6_30741867_30742147	6	30741867	30742147	-9.095675468444824	-0.35150660778937953	9.400032720200922e-20	0.03006545328445406	1	1.0	1
intron_6_30741704_30741792	6	30741704	30741792	-9.095675468444824	-0.27414470838328586	9.400032720200922e-20	0.04942822421785156	1	1.0	1
intron_6_30741333_30741614	6	30741333	30741614	8.980318244973258	0.7307298713138183	2.6998469928117363e-19	0.006828751236140538	2	2.0	2
intron_6_31652551_31656472	6	31652551	31656472	8.636424064636232	96.80040929655642	5.799992185668772e-18	4.0070325508836325e-07	1	1.0	1
intron_6_31656633_31657225	6	31656633	31657225	-8.61822509765625	-12.894580538130292	6.799990476065412e-18	2.258202165427143e-05	1	1.0	1
intron_6_31151122_31156731	6	31151122	31156731	-8.562966346740723	-0.1220925252269315	1.1000004961977527e-17	0.35292614302917896	1	1.0	1
intron_6_31154799_31156731	6	31154799	31156731	8.562966346740723	0.28761582312427897	1.1000004961977527e-17	0.06359697114937901	1	2.0	2
intron_6_30490515_30491137	6	30490515	30491137	-8.529532137285267	-0.07777544433915241	1.4694077392710625e-17	0.8735815424604904	4	5.0	5
intron_6_31150860_31150959	6	31150860	31150959	8.488123893737795	0.8803181200960329	2.0999962640640917e-17	0.005569699548163262	1	1.0	1
intron_6_31781123_31781481	6	31781123	31781481	-8.458861351013184	-0.6746670966212701	2.7000082333350575e-17	0.007185744157725756	1	1.0	1
intron_6_30007593_30491137	6	30007593	30491137	8.436652489994811	0.05557750708659322	3.265555414835593e-17	1.4999983935483592	4	6.0	6
intron_6_31781123_31781389	6	31781123	31781389	8.435425758361816	0.7245859269250846	3.299992533010445e-17	0.006229755773773599	1	1.0	1
intron_6_30204765_30213305	6	30204765	30213305	-8.41919409969663	-0.10638733404449574	3.790829000920712e-17	0.31724657732777073	2	2.0	2
intron_6_31763555_31764064	6	31763555	31764064	8.41891098022461	27.154280846913977	3.800000000801054e-17	4.402693571210356e-06	1	1.0	1
intron_6_31763550_31764064	6	31763550	31764064	-8.418910980224608	-11.774892113658392	3.800000000801108e-17	2.3414301000667225e-05	1	1.0	1
intron_6_31758620_31758766	6	31758620	31758766	-8.415866851806642	-26.279671817130463	3.900000856572698e-17	4.883096181057939e-06	1	1.0	1
intron_6_30730727_30730919	6	30730727	30730919	8.316184915102768	0.05644305054137268	9.084005407691636e-17	1.0582389043297256	3	3.0	3
intron_6_28225366_28227012	6	28225366	28227012	8.314680099487305	607.4086403565474	9.200009230107259e-17	8.411211461097315e-09	1	1.0	1
intron_6_30261479_30261587	6	30261479	30261587	8.243720546092515	0.13346783665341283	1.6693678940953795e-16	0.20966092444557582	3	5.0	5
intron_6_30339930_30340505	6	30339930	30340505	8.190566062927244	104.65115440920316	2.600004093902432e-16	3.0097014489592943e-07	1	1.0	1
intron_19_41320470_41322595	19	41320470	41322595	8.05268096923828	13.37476294053173	8.099984276865759e-16	2.103175996279141e-05	1	1.0	1
intron_19_41320470_41322600	19	41320470	41322600	-8.05268096923828	-87.73508407803347	8.099984276865759e-16	4.887662499548465e-07	1	1.0	1
intron_6_31961094_31961547	6	31961094	31961547	-7.929682226457641	-0.4473501859190306	2.1970735095796505e-15	0.01957807270460876	2	2.0	2
intron_6_31979553_31980451	6	31979553	31980451	7.87164783477783	20.137960661630515	3.500002304716303e-15	9.590101485000264e-06	1	1.0	1
intron_6_31968538_31968623	6	31968538	31968623	-7.858101367950439	-1.2585451538976686	3.899996415343574e-15	0.0024553679115557757	1	1.0	1
intron_6_30741333_30742147	6	30741333	30742147	7.50275350650848	0.2396593545803692	6.249099923711197e-14	0.042164475125970484	2	2.0	2
intron_6_26407952_26409533	6	26407952	26409533	7.285578656701812	0.13968004861171585	3.202925356088868e-13	0.13874961431179464	2	2.0	2
intron_6_28272339_28272670	6	28272339	28272670	7.190572663514608	0.19264912940508233	6.452012809254449e-13	0.08380038386196828	2	2.0	2
intron_6_31269525_31269966	6	31269525	31269966	-7.1635123824575615	-0.04505811022949906	7.86357561608896e-13	1.496922645048369	7	8.0	8
intron_6_31651776_31660321	6	31651776	31660321	7.055198038638303	0.6239951106727596	1.7235507579783162e-12	0.008230926531569718	2	2.0	2
