gene	gene_name	zscore	effect_size	pvalue	var_g	n_snps_used	n_snps_in_cov	n_snps_in_model	GeneID	chromosome.x	start_position	end_position
ENSG00000204410.14	MSH5	8.71670563948811	0.927182136681747	2.8641351728307e-18	0.00419108918971752	2	2	2	4439	6	31740004	31762675
ENSG00000137312.14	FLOT1	-8.64549938740009	-0.337116807491286	5.35704865997682e-18	0.0251256158853407	2	2	2	10211	6	30727708	30742846
ENSG00000204444.10	APOM	8.63642406463623	0.498738817111936	5.79999218566877e-18	0.0154343602714578	1	2	2	55937	6	31652403	31658209
ENSG00000204366.3	ZBTB12	-8.49379348754883	-4.1994607146508	1.99999546438865e-17	0.000189636304177809	1	2	2	221527	6	31899193	31902330
ENSG00000244731.7	C4A	8.30269452299283	0.180540514744818	1.01776320855057e-16	0.109131651858319	3	3	3	720	6	31982056	32002680
ENSG00000233822.4	HIST1H2BN	8.23470497131348	2.01604413239119	1.8000067659057e-16	0.000594758189050827	1	1	1	NA	NA	NA	NA
ENSG00000105329.9	TGFB1	-8.15511983122813	-0.488135822004366	3.4883383275798e-16	0.0154429812165639	2	2	2	7040	19	41330322	41353921
ENSG00000196812.4	ZSCAN16	-7.91705650891754	-3.1606306551628	2.43199234857769e-15	0.000262317809414339	2	2	2	80345	6	28123752	28130081
ENSG00000204388.6	HSPA1B	-7.72712802886963	-0.937828628627167	1.10000003234148e-14	0.00470225697053477	1	1	1	3304	6	31827737	31830253
ENSG00000197062.11	ZSCAN26	6.96013924748344	0.125445055029341	3.39936569801642e-12	0.145862161139495	3	3	3	7741	6	28267049	28278217
ENSG00000204516.9	MICB	-6.81743743979085	-0.0954419923541941	9.26787405899167e-12	0.236676832780012	4	4	4	4277	6	31494917	31511123
ENSG00000204644.9	ZFP57	-6.78879583543779	-0.0433640871357342	1.13073320872341e-11	1.57472533863808	2	2	2	346171	6	29672391	29681151
ENSG00000204536.13	CCHCR1	-6.7405211825401	-0.13550765600166	1.57819492661625e-11	0.188458527735076	2	2	2	54535	6	31142438	31158208
ENSG00000204713.10	TRIM27	6.54269252277329	0.386743268625417	6.04209761971243e-11	0.00983824358145357	3	3	3	5987	6	28903001	28923984
ENSG00000186470.13	BTN3A2	6.52598895061959	0.089562133152008	6.75543003595352e-11	0.25758582892987	2	2	2	11118	6	26365169	26378319
ENSG00000204308.7	RNF5	6.48286008834839	0.162401477052795	8.99999520477252e-11	0.0917618164992369	1	1	1	6048	6	32178404	32180792
ENSG00000221988.12	PPT2	-6.47470092773438	-0.442699704085956	9.49999174853606e-11	0.0123259182520652	1	1	1	9374	6	32153527	32163674
ENSG00000137185.11	ZSCAN9	-6.43929700030052	-0.52216318847434	1.20028128837367e-10	0.00462196201358517	2	2	2	7746	6	28224701	28233486
ENSG00000240053.8	LY6G5B	-6.30005482399848	-0.260100385647068	2.97540384737723e-10	0.0417957950537639	2	2	2	58496	6	31670950	31672449
ENSG00000204618.8	RNF39	-6.21742692574091	-0.179201804140769	5.0537338157445e-10	0.0574181834796618	2	2	2	80352	6	30070265	30080624
ENSG00000187626.8	ZKSCAN4	-6.18782520294189	-0.373545995500481	6.09999134226059e-10	0.014277002990701	1	1	1	387032	6	28241696	28259257
ENSG00000198563.13	DDX39B	5.95822721499179	0.705111108034608	2.54988833549694e-09	0.00460827520589268	2	2	2	7919	6	31530225	31542002
ENSG00000204305.13	AGER	-5.95757822022921	-0.222548580182123	2.56003192633128e-09	0.0592773423612744	2	3	3	177	6	32180968	32184379
ENSG00000137411.16	VARS2	5.70361708399114	0.078256799837707	1.17291405412015e-08	0.413182007287882	3	3	3	57176	6	30914237	30926458
ENSG00000204540.10	PSORS1C1	5.66741785376051	0.0917823971621667	1.44965515994637e-08	0.247910621890393	2	2	2	170679	6	31114799	31140091
ENSG00000224843.6	LINC00240	-5.55253841638308	-0.293643828140687	2.81550814563025e-08	0.0227478292964132	2	2	2	100133205	6	26956992	27023973
ENSG00000281831.1	HCP5B	-5.51861930622861	-0.0379400441601521	3.41673469520396e-08	1.2659147961686	4	6	6	352990	6	29871894	29873782
ENSG00000206344.7	HCG27	5.47303170633119	0.0802131222998489	4.42400921138115e-08	0.327183201367021	3	4	4	253018	6	31197759	31203967
ENSG00000237441.9	RGL2	5.45490169525146	3.79718185793707	4.89999458438857e-08	0.000115545775900846	1	1	1	5863	6	33291653	33299364
ENSG00000137310.11	TCF19	5.33101268777587	0.174486969989577	9.76665942635253e-08	0.0795355432594901	2	3	3	6941	6	31158588	31164214
ENSG00000189298.13	ZKSCAN3	5.24861662813642	0.183046556332183	1.53245610026617e-07	0.0426515696507548	2	2	2	80317	6	28349912	28369173
ENSG00000187987.9	ZSCAN23	-5.12983274459839	-0.230366691037733	2.89999730243179e-07	0.0262862397780821	1	1	1	222696	6	28425515	28443553
ENSG00000196260.4	SFTA2	-5.11737600429019	-0.206746151226963	3.09815606214082e-07	0.0478436154443498	3	3	3	389376	6	30931352	30932169
ENSG00000235109.7	ZSCAN31	-5.10461295629068	-0.0583317314825249	3.31472234038707e-07	0.4086767578087	3	3	3	64288	6	28324736	28359156
ENSG00000158691.14	ZSCAN12	-5.05696812599017	-0.349800060523367	4.25974401030901e-07	0.0110675603283455	2	2	2	9753	6	28378820	28399767
ENSG00000204304.11	PBX2	4.76377964019775	0.502990514855081	1.8999999155705e-06	0.00708504925262296	1	1	1	5089	6	32184732	32190201
ENSG00000242574.8	HLA-DMB	-4.68911157209273	-0.299987264179035	2.74393756077198e-06	0.0115152033231319	2	2	2	3109	6	32934635	32941027
ENSG00000106066.14	CPVL	-4.68465915796929	-0.114816190768222	2.80426190616693e-06	0.121292846697589	2	2	2	54504	7	28994635	29195450
ENSG00000203747.10	FCGR3A	4.65754652023315	2.8238913175895	3.20000128493932e-06	0.000201884511792329	1	2	2	2214	1	161541758	161550736
ENSG00000204301.6	NOTCH4	4.61930270792471	0.0815886168327775	3.85031789357425e-06	0.211823571386144	4	4	4	4855	6	32194842	32224066
ENSG00000204257.14	HLA-DMA	-4.58513628055393	-0.0796207441879336	4.53690416551978e-06	0.174308469073787	2	2	2	3108	6	32948617	32953096
ENSG00000223501.8	VPS52	-4.54497668693113	-0.375498098528558	5.49413347073422e-06	0.0083636882017164	2	2	2	6293	6	33250271	33271964
ENSG00000213676.10	ATF6B	4.46252346038818	0.112194866424924	8.10000569633865e-06	0.12723306879579	1	1	1	1388	6	32115263	32128245
ENSG00000100299.17	ARSA	4.43895690290933	0.0339757584517306	9.0395913497791e-06	0.965077264214531	3	3	3	410	22	50622753	50628151
ENSG00000178404.9	CEP295NL	-4.36830515697904	-0.507850247330379	1.25214456558007e-05	0.00583635127663995	2	2	2	100653515	17	78890578	78903200
ENSG00000137338.5	PGBD1	-4.31445121765137	-0.204826122990144	1.59999858171784e-05	0.0257934899426644	1	1	1	84547	6	28281563	28303680
ENSG00000204428.12	LY6G5C	-4.31445121765137	-0.172236086323339	1.59999858171784e-05	0.0433801804026456	1	1	1	80741	6	31676683	31680372
ENSG00000124942.13	AHNAK	4.25398445129395	1.10760789831608	2.09999889693866e-05	0.00105160653403033	1	1	1	79026	11	62433543	62546805
ENSG00000166226.12	CCT2	-4.21479988098145	-1.3422081202271	2.49999766288809e-05	0.000673989264440793	1	1	1	10576	12	69585458	69601569
ENSG00000166225.8	FRS2	-4.18864738430886	-0.114385550745452	2.80622035497031e-05	0.0981968985313953	2	2	2	10818	12	69470370	69579792
ENSG00000112294.12	ALDH5A1	-4.07507276535034	-30.2543868334526	4.59999612362348e-05	6.90548538613976e-07	1	1	1	7915	6	24494968	24537206
ENSG00000132164.9	SLC6A11	4.07006502151489	0.0786909649232417	4.70000182352205e-05	0.175898787688516	1	1	1	6538	3	10816199	10940713
ENSG00000149499.11	EML3	4.06917032130109	0.103977204414729	4.71808485592298e-05	0.105772853865076	3	3	3	256364	11	62602217	62612774
ENSG00000149489.8	ROM1	-4.0329188896831	-0.322207837786018	5.50882978178324e-05	0.0107845877133318	2	2	2	6094	11	62613256	62615115
ENSG00000198300.12	PEG3	3.93847823143005	25.0197614115715	8.20000320552768e-05	1.50040171370129e-06	1	1	1	5178	19	56810081	56840725
ENSG00000213719.8	CLIC1	3.9355685710907	258.640778246116	8.29999608206116e-05	1.34728120174848e-08	1	1	1	1192	6	31730580	31737317
ENSG00000228223.2	HCG11	-3.90301966667175	-0.363838059243696	9.49999801073717e-05	0.00768574247607649	1	1	1	493812	6	26521705	26527392
ENSG00000101444.12	AHCY	3.90083608321285	5.45916913693996	9.58610440580025e-05	3.58013206573573e-05	2	2	2	191	20	34235011	34311975
ENSG00000232040.2	ZBED9	3.84612607955933	0.551304310588074	0.000120000031809092	0.00327819912317048	1	1	1	114821	6	28568287	28616201
ENSG00000149480.6	MTA2	3.82645869255066	1.12429113291679	0.000129999952246078	0.000818475875542489	1	1	1	9219	11	62593213	62601864
ENSG00000204498.10	NFKBIL1	3.82645869255066	0.520457776019681	0.000129999952246078	0.00287355619681816	1	1	1	4795	6	31546850	31558828
ENSG00000270001.1	RP11-218C14.8	3.79106950759888	0.223845222316795	0.000149999964385476	0.0191920498320936	1	1	1	NA	NA	NA	NA
ENSG00000119772.16	DNMT3A	3.75987243652344	31.134008926473	0.00017000001919999	1.21290781728398e-06	1	1	1	1788	2	25227873	25342589
ENSG00000153132.12	CLGN	-3.7455484867096	-0.81556229391134	0.000180000076387032	0.00128392835846609	1	1	1	1047	4	140388452	140427647
ENSG00000169682.17	SPNS1	3.71901655197144	0.647528383663801	0.000199999947339753	0.00236569676120197	1	1	1	83985	16	28973998	28984768
ENSG00000088682.13	COQ9	-3.68428502812593	-0.303038628587899	0.000229345490867495	0.00921651801345975	2	2	2	57017	16	57447478	57461269
ENSG00000147647.12	DPYS	-3.65867847117784	-1.39927479355587	0.000253519164574512	0.000524701458114402	2	2	2	1807	8	104379428	104467073
ENSG00000213658.11	LAT	3.61598385797136	0.189488524173937	0.000299209021334648	0.0270086748295176	2	2	2	27040	16	28984802	28990783
ENSG00000165209.18	STRBP	3.59162063156847	0.820611210412563	0.000328627998333365	0.00142854460249036	2	2	2	55342	9	123109493	123268585
ENSG00000178952.10	TUFM	3.58310544424266	0.0725392641022786	0.000339533466339814	0.167731720398082	3	3	3	7284	16	28842410	28846347
ENSG00000272911.1	RP11-74E22.6	3.57517027854919	0.0740719995125729	0.000350000024436311	0.151232985381675	1	1	1	NA	NA	NA	NA
ENSG00000196605.7	ZNF846	3.56284157682295	0.121356923064352	0.000366862092809268	0.0579560704756735	2	2	2	162993	19	9751992	9786159
ENSG00000196605.7	ZNF846	3.56284157682295	0.121356923064352	0.000366862092809268	0.0579560704756735	2	2	2	162993	19	9756151	9756862
ENSG00000181315.10	ZNF322	-3.54008388519287	-0.0658622046251034	0.000399999869671256	0.193832962812209	1	3	3	79692	6	26634382	26659745
ENSG00000105323.16	HNRNPUL1	-3.53356194496155	-0.72161993807222	0.00040999999945127	0.00158957247722916	1	1	1	11100	19	41262518	41307786
ENSG00000186130.4	ZBTB6	-3.51491179818457	-1.14420914895088	0.00043990006528581	0.00067977389483645	2	2	2	10773	9	122908055	122913322
ENSG00000102978.12	POLR2C	-3.50948922663876	-0.383477783498839	0.000448968246828022	0.00501736530907062	2	2	2	5432	16	57462678	57472008
ENSG00000100253.12	MIOX	3.50302863121033	0.149876715744741	0.000460000015975736	0.0338650104829387	1	1	1	55586	22	50483987	50490647
ENSG00000204922.4	UQCC3	-3.50262251835523	-0.200794002266001	0.000460701853260657	0.019651343480247	2	2	2	790955	11	62671672	62673685
ENSG00000096654.15	ZNF184	3.49167609214783	0.288425605778775	0.000479999948350147	0.00977557025429567	1	1	1	7738	6	27404005	27473104
ENSG00000163946.13	FAM208A	-3.47657389269639	-0.385752506422139	0.000507864259252524	0.00556466002668187	3	3	3	NA	NA	NA	NA
ENSG00000087995.15	METTL2A	3.46511745452881	3.07240258705623	0.000529999951720463	9.36492077394887e-05	1	1	1	339175	17	62423875	62453384
ENSG00000171469.10	ZNF561	-3.45523082767389	-0.0549867500790373	0.000549821885530686	0.271042668048163	2	2	2	93134	19	9607325	9621248
ENSG00000101439.8	CST3	3.41407060623169	0.485563370157134	0.000639999877837686	0.00329792094145857	1	1	1	1471	20	23626705	23637954
ENSG00000137193.13	PIM1	3.40984416007996	1.43972535555866	0.000650000094320448	0.0002656349212635	1	1	1	5292	6	37170151	37175427
ENSG00000107537.13	PHYH	-3.38568830490112	-0.300652905693432	0.000709999784251012	0.0104536868479206	1	1	1	5264	10	13277798	13300063
